source,llm_extraction_coverage,rows,denominator,share
kaggle_arshkon,labeled,4687,4691.0,0.9991473033468343
kaggle_arshkon,skipped_short,4,4691.0,0.0008526966531656363
kaggle_asaniczka,labeled,17037,18129.0,0.9397650173754758
kaggle_asaniczka,not_selected,1053,18129.0,0.05808373324507695
kaggle_asaniczka,deferred,35,18129.0,0.0019306084174527001
kaggle_asaniczka,skipped_short,4,18129.0,0.00022064096199459428
scraped,not_selected,28248,40881.0,0.690981140383063
scraped,labeled,12534,40881.0,0.30659719674176267
scraped,deferred,97,40881.0,0.002372740392847533
scraped,skipped_short,2,40881.0,4.892248232675326e-05
