source,source_platform,total_rows,min_date_posted,max_date_posted,min_scrape_date,max_scrape_date,date_posted_non_null,scrape_date_non_null
kaggle_arshkon,linkedin,110360,2024-04-05,2024-04-20,,,110360,0
kaggle_asaniczka,linkedin,847526,2024-01-12,2024-01-17,,,847526,0
scraped,indeed,140575,2020-02-24,2026-04-14,2026-03-20,2026-04-14,140575,140575
scraped,linkedin,253626,2026-03-19,2026-04-13,2026-03-20,2026-04-14,3477,253626
