source,source_platform,total_rows,swe_rows,swe_adjacent_rows,control_rows,other_rows,english_rows,date_ok_rows
kaggle_arshkon,linkedin,110619,4693.0,2397.0,8616.0,94913.0,110360.0,110619.0
kaggle_asaniczka,linkedin,892554,19029.0,10217.0,108829.0,754479.0,847526.0,892554.0
scraped,indeed,140687,11863.0,3386.0,28354.0,97084.0,140590.0,140672.0
scraped,linkedin,253787,40899.0,11596.0,41797.0,159495.0,253626.0,253787.0
