source,source_platform,total_rows,swe_rows,swe_adjacent_rows,control_rows,other_rows
kaggle_arshkon,linkedin,110360,4691.0,2396.0,8614.0,94659.0
kaggle_asaniczka,linkedin,847526,18129.0,9420.0,105341.0,714636.0
scraped,linkedin,253626,40881.0,11592.0,41790.0,159363.0
