column_name,column_type,source,is_swe_subset,total_rows,non_null_count,non_empty_count,distinct_count,non_null_rate,null_rate,non_empty_rate
asaniczka_skills,VARCHAR,kaggle_arshkon,all,110360,0.0,0.0,0,0.0,1.0,0.0
posting_age_days,DOUBLE,kaggle_arshkon,all,110360,0.0,,0,0.0,1.0,
query_tier,VARCHAR,kaggle_arshkon,all,110360,0.0,0.0,0,0.0,1.0,0.0
scrape_date,VARCHAR,kaggle_arshkon,all,110360,0.0,0.0,0,0.0,1.0,0.0
scrape_week,DOUBLE,kaggle_arshkon,all,110360,0.0,,0,0.0,1.0,
search_location,VARCHAR,kaggle_arshkon,all,110360,0.0,0.0,0,0.0,1.0,0.0
search_metro_id,VARCHAR,kaggle_arshkon,all,110360,0.0,0.0,0,0.0,1.0,0.0
search_metro_name,VARCHAR,kaggle_arshkon,all,110360,0.0,0.0,0,0.0,1.0,0.0
search_metro_region,VARCHAR,kaggle_arshkon,all,110360,0.0,0.0,0,0.0,1.0,0.0
search_query,VARCHAR,kaggle_arshkon,all,110360,0.0,0.0,0,0.0,1.0,0.0
llm_text_skip_reason,VARCHAR,kaggle_arshkon,all,110360,116.0,116.0,1,0.001051105472997463,0.9989488945270025,0.001051105472997463
real_employer,VARCHAR,kaggle_arshkon,all,110360,317.0,317.0,224,0.0028724175425878943,0.9971275824574121,0.0028724175425878943
skills_raw,VARCHAR,kaggle_arshkon,all,110360,2097.0,2097.0,1956,0.01900144980065241,0.9809985501993476,0.01900144980065241
yoe_min_years_llm,BIGINT,kaggle_arshkon,all,110360,6926.0,,19,0.06275824574121058,0.9372417542587894,
ghost_assessment_llm,VARCHAR,kaggle_arshkon,all,110360,11511.0,11511.0,3,0.10430409568684305,0.8956959043131569,0.10430409568684305
llm_model_classification,VARCHAR,kaggle_arshkon,all,110360,11511.0,11511.0,1,0.10430409568684305,0.8956959043131569,0.10430409568684305
llm_prompt_version_classification,VARCHAR,kaggle_arshkon,all,110360,11511.0,11511.0,1,0.10430409568684305,0.8956959043131569,0.10430409568684305
swe_classification_llm,VARCHAR,kaggle_arshkon,all,110360,11511.0,11511.0,3,0.10430409568684305,0.8956959043131569,0.10430409568684305
description_core_llm,VARCHAR,kaggle_arshkon,all,110360,15633.0,15580.0,14898,0.14165458499456324,0.8583454150054368,0.14117433852845235
analysis_group,VARCHAR,kaggle_arshkon,all,110360,15701.0,15701.0,3,0.1422707502718376,0.8577292497281623,0.1422707502718376
yoe_extracted,DOUBLE,kaggle_arshkon,all,110360,49530.0,,20,0.4488039144617615,0.5511960855382385,
yoe_max_extracted,DOUBLE,kaggle_arshkon,all,110360,49530.0,,20,0.4488039144617615,0.5511960855382385,
yoe_min_extracted,DOUBLE,kaggle_arshkon,all,110360,49530.0,,20,0.4488039144617615,0.5511960855382385,
company_id_kaggle,DOUBLE,kaggle_asaniczka,all,847526,0.0,,0,0.0,1.0,
company_industry,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
company_size,DOUBLE,kaggle_asaniczka,all,847526,0.0,,0,0.0,1.0,
company_size_category,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
company_size_raw,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
posting_age_days,DOUBLE,kaggle_asaniczka,all,847526,0.0,,0,0.0,1.0,
query_tier,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
scrape_date,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
scrape_week,DOUBLE,kaggle_asaniczka,all,847526,0.0,,0,0.0,1.0,
search_location,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
search_metro_id,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
search_metro_region,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
work_type,VARCHAR,kaggle_asaniczka,all,847526,0.0,0.0,0,0.0,1.0,0.0
llm_text_skip_reason,VARCHAR,kaggle_asaniczka,all,847526,130.0,130.0,1,0.0001533876246864403,0.9998466123753136,0.0001533876246864403
yoe_min_years_llm,BIGINT,kaggle_asaniczka,all,847526,12631.0,,20,0.014903377595495596,0.9850966224045044,
real_employer,VARCHAR,kaggle_asaniczka,all,847526,16263.0,16263.0,1081,0.01918879184827368,0.9808112081517263,0.01918879184827368
ghost_assessment_llm,VARCHAR,kaggle_asaniczka,all,847526,18121.0,18121.0,3,0.021381054976484497,0.9786189450235155,0.021381054976484497
llm_model_classification,VARCHAR,kaggle_asaniczka,all,847526,18121.0,18121.0,1,0.021381054976484497,0.9786189450235155,0.021381054976484497
llm_prompt_version_classification,VARCHAR,kaggle_asaniczka,all,847526,18121.0,18121.0,1,0.021381054976484497,0.9786189450235155,0.021381054976484497
swe_classification_llm,VARCHAR,kaggle_asaniczka,all,847526,18121.0,18121.0,3,0.021381054976484497,0.9786189450235155,0.021381054976484497
description_core_llm,VARCHAR,kaggle_asaniczka,all,847526,46864.0,46765.0,45700,0.055295058794656446,0.9447049412053435,0.0551782482189337
analysis_group,VARCHAR,kaggle_asaniczka,all,847526,132890.0,132890.0,3,0.1567975495737004,0.8432024504262996,0.1567975495737004
yoe_extracted,DOUBLE,kaggle_asaniczka,all,847526,393364.0,,20,0.46413207382428384,0.5358679261757162,
yoe_max_extracted,DOUBLE,kaggle_asaniczka,all,847526,393364.0,,20,0.46413207382428384,0.5358679261757162,
yoe_min_extracted,DOUBLE,kaggle_asaniczka,all,847526,393364.0,,20,0.46413207382428384,0.5358679261757162,
asaniczka_skills,VARCHAR,scraped,all,253626,0.0,0.0,0,0.0,1.0,0.0
company_id_kaggle,DOUBLE,scraped,all,253626,0.0,,0,0.0,1.0,
company_size,DOUBLE,scraped,all,253626,0.0,,0,0.0,1.0,
company_size_category,VARCHAR,scraped,all,253626,0.0,0.0,0,0.0,1.0,0.0
company_size_raw,VARCHAR,scraped,all,253626,0.0,0.0,0,0.0,1.0,0.0
skills_raw,VARCHAR,scraped,all,253626,0.0,0.0,0,0.0,1.0,0.0
llm_text_skip_reason,VARCHAR,scraped,all,253626,21.0,21.0,1,8.279908211303258e-05,0.9999172009178869,8.279908211303258e-05
date_posted,VARCHAR,scraped,all,253626,3477.0,3477.0,26,0.013709162309857822,0.9862908376901421,0.013709162309857822
posting_age_days,DOUBLE,scraped,all,253626,3477.0,,2,0.013709162309857822,0.9862908376901421,
real_employer,VARCHAR,scraped,all,253626,8796.0,8796.0,2055,0.03468098696505879,0.9653190130349412,0.03468098696505879
yoe_min_years_llm,BIGINT,scraped,all,253626,15899.0,,20,0.06268679078643356,0.9373132092135664,
ghost_assessment_llm,VARCHAR,scraped,all,253626,21853.0,21853.0,3,0.08616230197219528,0.9138376980278047,0.08616230197219528
llm_model_classification,VARCHAR,scraped,all,253626,21853.0,21853.0,1,0.08616230197219528,0.9138376980278047,0.08616230197219528
llm_prompt_version_classification,VARCHAR,scraped,all,253626,21853.0,21853.0,1,0.08616230197219528,0.9138376980278047,0.08616230197219528
swe_classification_llm,VARCHAR,scraped,all,253626,21853.0,21853.0,3,0.08616230197219528,0.9138376980278047,0.08616230197219528
description_core_llm,VARCHAR,scraped,all,253626,32845.0,32787.0,32504,0.1295017072382169,0.870498292761783,0.1292730240590476
