source,period,n,text_labeled,aggregators,text_share
kaggle_arshkon,2024-04,4691,4679,430,0.9974419100405031
kaggle_asaniczka,2024-01,18129,15574,2943,0.8590655855259529
scraped,2026-03,19796,3979,3316,0.20100020206102243
scraped,2026-04,17356,1987,2781,0.11448490435584235
