source,period,seniority_3level,n,tech,category,share
kaggle_arshkon,2024-04,junior,175,python,language,0.05142857142857143
kaggle_arshkon,2024-04,junior,175,java,language,0.08
kaggle_arshkon,2024-04,junior,175,javascript,language,0.26285714285714284
kaggle_arshkon,2024-04,junior,175,typescript,language,0.06857142857142857
kaggle_arshkon,2024-04,junior,175,go,language,0.06857142857142857
kaggle_arshkon,2024-04,junior,175,rust,language,0.0
kaggle_arshkon,2024-04,junior,175,c_plus_plus,language,0.26285714285714284
kaggle_arshkon,2024-04,junior,175,c_sharp,language,0.11428571428571428
kaggle_arshkon,2024-04,junior,175,ruby,language,0.0
kaggle_arshkon,2024-04,junior,175,kotlin,language,0.011428571428571429
kaggle_arshkon,2024-04,junior,175,swift,language,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,scala,language,0.011428571428571429
kaggle_arshkon,2024-04,junior,175,php,language,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,perl,language,0.017142857142857144
kaggle_arshkon,2024-04,junior,175,dart,language,0.0
kaggle_arshkon,2024-04,junior,175,lua,language,0.0
kaggle_arshkon,2024-04,junior,175,haskell,language,0.0
kaggle_arshkon,2024-04,junior,175,clojure,language,0.0
kaggle_arshkon,2024-04,junior,175,elixir,language,0.0
kaggle_arshkon,2024-04,junior,175,erlang,language,0.0
kaggle_arshkon,2024-04,junior,175,julia,language,0.0
kaggle_arshkon,2024-04,junior,175,matlab,language,0.02857142857142857
kaggle_arshkon,2024-04,junior,175,r_language,language,0.03428571428571429
kaggle_arshkon,2024-04,junior,175,html,other,0.12571428571428572
kaggle_arshkon,2024-04,junior,175,css,other,0.0
kaggle_arshkon,2024-04,junior,175,sass,other,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,less,other,0.0
kaggle_arshkon,2024-04,junior,175,react,frontend,0.03428571428571429
kaggle_arshkon,2024-04,junior,175,react_native,frontend,0.0
kaggle_arshkon,2024-04,junior,175,angular,frontend,0.09714285714285714
kaggle_arshkon,2024-04,junior,175,vue,frontend,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,nextjs,frontend,0.017142857142857144
kaggle_arshkon,2024-04,junior,175,svelte,frontend,0.0
kaggle_arshkon,2024-04,junior,175,redux,frontend,0.0
kaggle_arshkon,2024-04,junior,175,webpack,frontend,0.0
kaggle_arshkon,2024-04,junior,175,vite,frontend,0.0
kaggle_arshkon,2024-04,junior,175,storybook,frontend,0.0
kaggle_arshkon,2024-04,junior,175,tailwind,frontend,0.0
kaggle_arshkon,2024-04,junior,175,bootstrap,frontend,0.011428571428571429
kaggle_arshkon,2024-04,junior,175,material_ui,frontend,0.0
kaggle_arshkon,2024-04,junior,175,nodejs,backend,0.08
kaggle_arshkon,2024-04,junior,175,express,backend,0.0
kaggle_arshkon,2024-04,junior,175,nestjs,backend,0.0
kaggle_arshkon,2024-04,junior,175,django,backend,0.02857142857142857
kaggle_arshkon,2024-04,junior,175,django_rest_framework,backend,0.0
kaggle_arshkon,2024-04,junior,175,flask,backend,0.02857142857142857
kaggle_arshkon,2024-04,junior,175,spring,backend,0.011428571428571429
kaggle_arshkon,2024-04,junior,175,spring_boot,backend,0.0
kaggle_arshkon,2024-04,junior,175,dotnet,backend,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,aspnet,backend,0.011428571428571429
kaggle_arshkon,2024-04,junior,175,rails,backend,0.0
kaggle_arshkon,2024-04,junior,175,laravel,backend,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,fastapi,backend,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,phoenix,backend,0.0
kaggle_arshkon,2024-04,junior,175,tornado,backend,0.0
kaggle_arshkon,2024-04,junior,175,bottle,backend,0.0
kaggle_arshkon,2024-04,junior,175,grpc,backend,0.0
kaggle_arshkon,2024-04,junior,175,graphql,backend,0.011428571428571429
kaggle_arshkon,2024-04,junior,175,rest_api,backend,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,microservices,backend,0.07428571428571429
kaggle_arshkon,2024-04,junior,175,event_driven,backend,0.0
kaggle_arshkon,2024-04,junior,175,oauth,backend,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,sql,data,0.2342857142857143
kaggle_arshkon,2024-04,junior,175,postgresql,data,0.05142857142857143
kaggle_arshkon,2024-04,junior,175,mysql,data,0.045714285714285714
kaggle_arshkon,2024-04,junior,175,sqlite,data,0.0
kaggle_arshkon,2024-04,junior,175,mongodb,data,0.0
kaggle_arshkon,2024-04,junior,175,redis,data,0.0
kaggle_arshkon,2024-04,junior,175,cassandra,data,0.011428571428571429
kaggle_arshkon,2024-04,junior,175,kafka,data,0.022857142857142857
kaggle_arshkon,2024-04,junior,175,spark,data,0.0
kaggle_arshkon,2024-04,junior,175,hadoop,data,0.017142857142857144
kaggle_arshkon,2024-04,junior,175,hive,data,0.0
kaggle_arshkon,2024-04,junior,175,presto,data,0.0
kaggle_arshkon,2024-04,junior,175,trino,data,0.0
kaggle_arshkon,2024-04,junior,175,snowflake,data,0.0
kaggle_arshkon,2024-04,junior,175,databricks,data,0.0
kaggle_arshkon,2024-04,junior,175,dbt,data,0.0
kaggle_arshkon,2024-04,junior,175,elasticsearch,data,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,airflow,data,0.0
kaggle_arshkon,2024-04,junior,175,luigi,data,0.0
kaggle_arshkon,2024-04,junior,175,airbyte,data,0.0
kaggle_arshkon,2024-04,junior,175,delta_lake,data,0.0
kaggle_arshkon,2024-04,junior,175,tableau,data,0.02857142857142857
kaggle_arshkon,2024-04,junior,175,powerbi,data,0.0
kaggle_arshkon,2024-04,junior,175,looker,data,0.0
kaggle_arshkon,2024-04,junior,175,superset,data,0.0
kaggle_arshkon,2024-04,junior,175,metabase,data,0.0
kaggle_arshkon,2024-04,junior,175,bigquery,data,0.005714285714285714
kaggle_arshkon,2024-04,junior,175,redshift,data,0.011428571428571429
