source,text_source,ai_any,n,mean_tech_count,median_tech_count,mean_tech_density,median_tech_density,mean_description_length
kaggle_arshkon,llm,False,4584,3.3420593368237346,3.0,1.5382302781243353,0.9492171098749214,3278.1544502617803
kaggle_arshkon,llm,True,95,4.831578947368421,4.0,1.2810996001237382,0.962000962000962,4599.4315789473685
kaggle_arshkon,raw,False,11,0.8181818181818182,0.0,3.0896518383946843,0.0,3384.2727272727275
kaggle_arshkon,raw,True,1,3.0,3.0,0.5422013374299657,0.5422013374299657,5533.0
kaggle_asaniczka,llm,False,15376,3.0875390218522374,2.0,1.157871925662683,0.6786563387469245,3848.6289021852235
kaggle_asaniczka,llm,True,198,5.0606060606060606,4.0,1.5770629341768392,1.3260512786160468,4139.217171717171
kaggle_asaniczka,raw,False,2511,3.520509757068897,3.0,1.1658787398597517,0.737571913261543,4051.332138590203
kaggle_asaniczka,raw,True,44,4.840909090909091,5.0,1.2441327076219417,1.1088606194350277,4494.545454545455
scraped,llm,False,5001,3.6480703859228156,3.0,0.9369035566488233,0.6141563027790573,5071.346130773845
scraped,llm,True,965,6.106735751295337,5.0,1.4071494572924925,1.0928961748633879,5309.244559585492
scraped,raw,False,25763,3.9413888134145867,3.0,1.0909589646987639,0.7147962830593281,4831.897915615417
scraped,raw,True,5423,6.443665867600959,6.0,1.5631702514292583,1.1764705882352942,5238.307578830905
