skill,count,mapped_tech,category
python,5629,python,language
java,4679,java,language
sql,3656,sql,data
aws,3441,aws,cloud_devops
javascript,3129,javascript,language
software engineering,2827,,other
software development,2775,,other
communication,2466,,other
git,2454,git,cloud_devops
agile,2400,agile,method_testing
linux,2285,linux,cloud_devops
kubernetes,2229,kubernetes,cloud_devops
docker,2130,docker,cloud_devops
computer science,2042,,other
devops,2031,,other
c++,2010,c_plus_plus,language
communication skills,1835,,other
c#,1826,c_sharp,language
troubleshooting,1755,,other
systems engineering,1598,,other
azure,1578,azure,cloud_devops
problem solving,1539,,other
project management,1525,,other
cloud computing,1507,,other
jira,1499,,other
react,1466,react,frontend
jenkins,1452,jenkins,cloud_devops
teamwork,1420,,other
unit testing,1404,unit_testing,method_testing
collaboration,1349,,other
problemsolving,1318,,other
typescript,1312,typescript,language
bachelor's degree,1309,,other
css,1305,css,other
html,1297,html,other
angular,1263,angular,frontend
testing,1240,,other
machine learning,1239,machine_learning,ai_domain
microservices,1193,microservices,backend
agile development,1172,,other
ci/cd,1097,ci_cd,method_testing
electrical engineering,1053,,other
leadership,1052,,other
scrum,1050,scrum,method_testing
analytical skills,1020,,other
data analysis,999,,other
nosql,956,,other
terraform,947,terraform,cloud_devops
go,946,go,language
debugging,944,,other
automation,901,,other
software design,885,,other
.net,882,dotnet,backend
engineering,857,,other
node.js,851,nodejs,backend
kafka,827,kafka,data
documentation,824,,other
windows,772,,other
mentoring,770,,other
gcp,762,gcp,cloud_devops
security,754,,other
software testing,753,,other
mysql,753,mysql,data
oracle,744,,other
ansible,740,ansible,cloud_devops
scala,732,scala,language
attention to detail,720,,other
design,713,,other
sql server,710,,other
continuous integration,699,,other
networking,695,,other
software architecture,671,,other
c/c++,644,,other
design patterns,639,,other
github,637,,other
data structures,632,,other
confluence,629,,other
algorithms,628,,other
json,612,,other
spark,610,spark,data
postgresql,605,postgresql,data
rest,603,,other
distributed systems,600,,other
data engineering,599,,other
interpersonal skills,586,,other
c,582,,other
code reviews,579,,other
xml,573,,other
problemsolving skills,572,,other
spring boot,565,spring_boot,backend
bash,564,bash,cloud_devops
mongodb,544,mongodb,data
computer engineering,531,,other
mechanical engineering,527,,other
technical writing,524,,other
u.s. citizenship,522,,other
data modeling,515,,other
system design,510,,other
scalability,501,,other
objectoriented programming,497,,other
