source,native_class,total_with_imputed,correct,accuracy_pct
kaggle_arshkon,entry,132,28,21.2
kaggle_arshkon,associate,85,8,9.4
kaggle_arshkon,mid-senior,1427,1402,98.2
kaggle_arshkon,director,19,4,21.1
scraped,entry,632,265,41.9
scraped,associate,322,28,8.7
scraped,mid-senior,9068,8858,97.7
scraped,director,213,33,15.5
