variant,source,junior_count,total,junior_share_pct
A_final_nonunknown,kaggle_arshkon,830,4066,20.4
A_final_nonunknown,scraped,3255,22469,14.5
B_native_only,kaggle_arshkon,769,3444,22.3
B_native_only,scraped,2789,19896,14.0
C_high_confidence,kaggle_arshkon,829,3881,21.4
C_high_confidence,scraped,3253,21831,14.9
D_all_signals,kaggle_arshkon,830,4066,20.4
D_all_signals,scraped,3255,22469,14.5
