native,final,count,row_pct
associate,associate,2205,71.5
associate,director,1,0.0
associate,entry,70,2.3
associate,mid-senior,808,26.2
director,director,73,27.4
director,mid-senior,193,72.6
entry,entry,3484,97.9
entry,mid-senior,74,2.1
executive,director,37,77.1
executive,mid-senior,11,22.9
intern,entry,447,99.6
intern,mid-senior,2,0.4
mid-senior,director,189,0.5
mid-senior,entry,125,0.3
mid-senior,mid-senior,38834,99.2
