source,period,n,mean_yoe,median_yoe,share_le2,share_le3
kaggle_arshkon,2024-04,65,2.046153846153846,2.0,0.7846153846153846,0.8615384615384616
kaggle_asaniczka,2024-01,77,2.5194805194805197,2.0,0.6363636363636364,0.8051948051948052
scraped,2026-03,138,2.028985507246377,2.0,0.8043478260869565,0.8913043478260869
scraped,2026-04,81,1.8395061728395061,2.0,0.8024691358024691,0.9135802469135802
