source,period,n,share_le2,share_le3,mean_yoe,median_yoe
kaggle_arshkon,2024-04,1426,0.20196353436185133,0.43688639551192143,4.560308555399719,4.0
kaggle_asaniczka,2024-01,4497,0.1581054036024016,0.3678007560595953,5.118078719146097,5.0
scraped,2026-03,6838,0.25343667739105,0.47557765428487864,4.366773910500147,4.0
scraped,2026-04,6139,0.24433946896888745,0.4679915295650757,4.3953412607916595,4.0
