seniority_native,entry,associate,mid-senior,director,unknown
entry,53,2,65,0,618
associate,21,4,57,0,181
mid-senior,21,3,1393,5,809
director,0,0,10,5,5
intern,20,0,0,0,0
executive,0,0,7,1,3
