source,period,seniority_final,n
kaggle_arshkon,2024-04,associate,15
kaggle_arshkon,2024-04,director,13
kaggle_arshkon,2024-04,entry,175
kaggle_arshkon,2024-04,mid-senior,2064
kaggle_arshkon,2024-04,unknown,2424
kaggle_asaniczka,2024-01,associate,8
kaggle_asaniczka,2024-01,director,85
kaggle_asaniczka,2024-01,entry,158
kaggle_asaniczka,2024-01,mid-senior,10930
kaggle_asaniczka,2024-01,unknown,6948
scraped,2026-03,associate,15
scraped,2026-03,director,143
scraped,2026-03,entry,664
scraped,2026-03,mid-senior,8298
scraped,2026-03,unknown,10676
scraped,2026-04,associate,13
scraped,2026-04,director,122
scraped,2026-04,entry,378
scraped,2026-04,mid-senior,7236
scraped,2026-04,unknown,9607
