metric,period,share,n
seniority_final_no_agg,2024-01,0.009614118266824708,15186
seniority_final_no_agg,2024-04,0.03848861769537667,4261
seniority_final_no_agg,2026-03,0.03137135922330097,16480
seniority_final_no_agg,2026-04,0.02490566037735849,14575
yoe_le_2_no_agg,2024-01,0.11000552791597568,10854
yoe_le_2_no_agg,2024-04,0.15523059617547807,2667
yoe_le_2_no_agg,2026-03,0.17636807249912861,11476
yoe_le_2_no_agg,2026-04,0.17997267226234628,10246
