term,count_a,count_b,rate_a,rate_b,log_odds_ratio,z_score,category,corpus_a,corpus_b,n_a,n_b
salary range,15,6542,0.023899355036072094,0.8030302546742571,3.5185858108518318,13.616354221009546,noise,arshkon_2024,scraped_2026,5017,24095
join us,40,4033,0.06373161342952557,0.49505059876204205,2.054093828364884,12.928880803212902,uncategorized,arshkon_2024,scraped_2026,5017,24095
new york,48,3379,0.0764779361154307,0.4147721232871163,1.6947907188115847,11.660531567970366,uncategorized,arshkon_2024,scraped_2026,5017,24095
pay range,9,4988,0.014339613021643256,0.6122768129494336,3.7575786533678937,11.268823828236883,uncategorized,arshkon_2024,scraped_2026,5017,24095
base salary,13,3622,0.02071277436459581,0.4446003641745887,3.070013464091783,11.05351356620102,uncategorized,arshkon_2024,scraped_2026,5017,24095
every day,25,2893,0.03983225839345349,0.35511564151217156,2.1916158440980302,10.913199957416968,uncategorized,arshkon_2024,scraped_2026,5017,24095
ai ml,168,4920,0.26767277640400744,0.6039298154994414,0.8179031127542542,10.425046836117293,uncategorized,arshkon_2024,scraped_2026,5017,24095
san francisco,23,2546,0.03664567772197721,0.31252140452471094,2.147153208898981,10.253394179297088,uncategorized,arshkon_2024,scraped_2026,5017,24095
real world,75,3177,0.11949677518036046,0.3899766308621393,1.186868701601706,10.160028989491337,uncategorized,arshkon_2024,scraped_2026,5017,24095
hiring process,12,2795,0.019119484028857676,0.3430861451871826,2.8906987503116444,9.996391761886363,uncategorized,arshkon_2024,scraped_2026,5017,24095
around world,23,2320,0.03664567772197721,0.28477991299973654,2.05416953640154,9.805088640895683,uncategorized,arshkon_2024,scraped_2026,5017,24095
ai powered,24,2295,0.03823896805771535,0.2817111639372394,2.0007890798166468,9.752982218967626,uncategorized,arshkon_2024,scraped_2026,5017,24095
please note,34,2332,0.054171871415096745,0.28625291254973523,1.6685869225033052,9.660690080493175,uncategorized,arshkon_2024,scraped_2026,5017,24095
united states,136,4075,0.21668748566038698,0.5002060971870372,0.840707873365151,9.644977577821473,uncategorized,arshkon_2024,scraped_2026,5017,24095
factors including,13,2400,0.02071277436459581,0.29459990999972746,2.6583072411726416,9.562465635441045,uncategorized,arshkon_2024,scraped_2026,5017,24095
ai systems,25,2133,0.03983225839345349,0.26182567001225776,1.8867592011304275,9.380846628651861,uncategorized,arshkon_2024,scraped_2026,5017,24095
per year,18,2081,0.028679226043286512,0.2554426719622637,2.1904317353613703,9.255830110983341,uncategorized,arshkon_2024,scraped_2026,5017,24095
benefits package,12,2246,0.019119484028857676,0.275696415774745,2.671950986141038,9.235107211415942,noise,arshkon_2024,scraped_2026,5017,24095
base pay,6,3261,0.009559742014428838,0.4002876277121297,3.7372816399646274,9.153627434503857,uncategorized,arshkon_2024,scraped_2026,5017,24095
high impact,35,2116,0.05576516175083489,0.25973892064975973,1.5423813706784202,9.051581374540081,uncategorized,arshkon_2024,scraped_2026,5017,24095
professional development,22,1904,0.03505238738623907,0.23371592859978382,1.9009427634972251,8.867134134384106,uncategorized,arshkon_2024,scraped_2026,5017,24095
ai driven,26,1911,0.04142554872919162,0.234575178337283,1.7376228020785582,8.802177265271444,uncategorized,arshkon_2024,scraped_2026,5017,24095
please contact,9,2175,0.014339613021643256,0.26698116843725306,2.9272295490662756,8.768423139592523,uncategorized,arshkon_2024,scraped_2026,5017,24095
ai tools,12,1946,0.019119484028857676,0.23887142702477904,2.528539977617985,8.735852653125418,uncategorized,arshkon_2024,scraped_2026,5017,24095
shape future,17,1806,0.027085935707548373,0.22168643227479495,2.1057919608075633,8.644342759607479,uncategorized,arshkon_2024,scraped_2026,5017,24095
interview process,15,1814,0.023899355036072094,0.22266843197479402,2.235300748861265,8.624559465245559,uncategorized,arshkon_2024,scraped_2026,5017,24095
work location,17,1783,0.027085935707548373,0.21886318313729755,2.0929720931771207,8.591199788041218,uncategorized,arshkon_2024,scraped_2026,5017,24095
reasonable accommodation,17,1741,0.027085935707548373,0.2137076847123023,2.0691293954636407,8.492362706885691,noise,arshkon_2024,scraped_2026,5017,24095
reasonable accommodations,9,1917,0.014339613021643256,0.23531167811228235,2.800931300339185,8.387772549144215,uncategorized,arshkon_2024,scraped_2026,5017,24095
dental vision,21,1693,0.03345909705050093,0.20781568651230778,1.8299626546600098,8.336371729846805,noise,arshkon_2024,scraped_2026,5017,24095
work life,11,1753,0.017526193693119536,0.21518068426230097,2.511006749124469,8.305809841906877,uncategorized,arshkon_2024,scraped_2026,5017,24095
range role,4,2964,0.006373161342952558,0.36383088884966347,4.046387979477166,8.097409985162413,uncategorized,arshkon_2024,scraped_2026,5017,24095
comprehensive benefits,7,1848,0.011153032350166977,0.22684193069979017,3.015266078996957,7.968241925382223,noise,arshkon_2024,scraped_2026,5017,24095
application process,9,1632,0.014339613021643256,0.2003279387998147,2.639942023923636,7.902440882484665,uncategorized,arshkon_2024,scraped_2026,5017,24095
backend services,74,2422,0.11790348484462232,0.297300409174725,0.9288561005226246,7.871501370523273,uncategorized,arshkon_2024,scraped_2026,5017,24095
agentic ai,7,1743,0.011153032350166977,0.2139531846373021,2.9567573109443064,7.812735502709814,ai_domain,arshkon_2024,scraped_2026,5017,24095
