corpus,fk_grade_count,fk_grade_mean,fk_grade_median,reading_ease_count,reading_ease_mean,reading_ease_median,gunning_fog_count,gunning_fog_mean,gunning_fog_median,avg_sentence_length_count,avg_sentence_length_mean,avg_sentence_length_median,type_token_ratio_first_1000_count,type_token_ratio_first_1000_mean,type_token_ratio_first_1000_median,lexicon_count_count,lexicon_count_mean,lexicon_count_median,syllable_count_count,syllable_count_mean,syllable_count_median
arshkon_2024,1181,32.44373500133576,26.471304347826088,1181,-69.02395778049878,-60.093007990867534,1181,36.00898193328762,29.97851037851038,1181,38.469728282015474,22.0,1181,0.8629330012301694,0.8709677419354839,1181,93.20999153259949,85.0,1181,262.8856900931414,237.0
asaniczka_2024,1221,44.74373275254352,41.5293795620438,1221,-92.71876836394766,-86.25763157894735,1221,49.73290008646197,46.730434782608704,1221,74.67760975260975,66.0,1221,0.832850870921685,0.8389830508474576,1221,102.6019656019656,95.0,1221,274.80671580671583,249.0
pooled_2024,2402,38.69614851266993,33.93161290322581,2402,-81.06865541679815,-71.67826603145792,2402,42.985211768852096,38.44173550271172,2402,56.875150128641465,46.0,2402,0.8476414603864311,0.8532110091743119,2402,97.98417985012489,90.0,2402,268.9454621149043,243.0
scraped_2026,2652,45.878765400152474,42.513218724109365,2652,-94.71080504558012,-88.34616989412088,2652,50.77146834233172,47.242105263157896,2652,78.12804174311528,69.0,2652,0.8289631756413525,0.8333333333333334,2652,116.08748114630468,107.0,2652,306.5882352941176,283.0
