source,period,text_source,n,aggregators,companies
kaggle_arshkon,2024-04,llm,4687,430.0,2297
kaggle_arshkon,2024-04,raw,4,0.0,3
kaggle_asaniczka,2024-01,llm,17037,2676.0,4785
kaggle_asaniczka,2024-01,raw,1092,267.0,601
scraped,2026-03,llm,6325,1106.0,2439
scraped,2026-03,raw,13452,2210.0,4151
scraped,2026-04,llm,6209,1035.0,2577
scraped,2026-04,raw,14895,2449.0,4505
