corpus,seniority_3level,fk_grade_count,fk_grade_mean,fk_grade_median,reading_ease_count,reading_ease_mean,reading_ease_median,gunning_fog_count,gunning_fog_mean,gunning_fog_median,avg_sentence_length_count,avg_sentence_length_mean,avg_sentence_length_median,type_token_ratio_first_1000_count,type_token_ratio_first_1000_mean,type_token_ratio_first_1000_median,lexicon_count_count,lexicon_count_mean,lexicon_count_median,syllable_count_count,syllable_count_mean,syllable_count_median
arshkon_2024,junior,166,33.67187971298494,28.584772727272732,166,-76.08909899727128,-63.42717105263155,166,37.28257206912737,32.68030860283238,166,39.44666962700311,27.5,166,0.8744505141049785,0.8785046728971962,166,91.39759036144578,89.5,166,261.2590361445783,263.5
arshkon_2024,mid,15,31.268074135670116,24.938918918918926,15,-66.60735636036391,-57.17893564356433,15,34.570150329966346,27.994202898550725,15,35.09412698412699,23.0,15,0.8577490014010142,0.873015873015873,15,115.93333333333334,85.0,15,326.93333333333334,254.0
arshkon_2024,senior,500,33.49083998800073,26.528820116054163,500,-71.8493368031887,-63.82727982518307,500,37.22052045832954,30.09753660637382,500,41.098343660238584,22.708333333333336,500,0.8617310747055845,0.8699677938808373,500,99.808,87.5,500,281.558,243.0
arshkon_2024,unknown,500,31.024155796373233,25.80991446725318,500,-63.92544991644442,-56.31322463768113,500,34.41777643124654,29.398853046594983,500,35.61803641619313,20.0,500,0.8604666334751924,0.8690056687605332,500,86.532,77.0,500,242.832,219.5
asaniczka_2024,junior,197,43.06126817893732,40.901515151515156,197,-89.88216324160035,-85.66661971830985,197,47.9200353323228,46.53877551020409,197,69.49777616630409,62.0,197,0.8446281989439948,0.8536585365853658,197,90.28934010152284,84.0,197,242.248730964467,216.0
asaniczka_2024,mid,24,43.60221551457848,39.67935163996949,24,-90.43550717090447,-83.88557323541409,24,48.42109413080404,44.036363636363646,24,71.36458333333333,56.0,24,0.8242747169147755,0.8504150283966798,24,98.45833333333333,95.5,24,265.4166666666667,262.5
asaniczka_2024,senior,500,46.86167901448528,43.64377763041556,500,-98.25495631551473,-91.2838024475524,500,51.9799840993151,48.491265597147944,500,80.09471190476191,71.25,500,0.8292475523398236,0.8378378378378378,500,113.672,109.0,500,303.978,283.5
asaniczka_2024,unknown,500,43.343470360024924,39.8831981981982,500,-88.4097993678515,-83.66825630252099,500,48.26305147261125,44.908629273149685,500,71.46038730158729,60.0,500,0.8322255776550879,0.8325082508250825,500,96.582,90.0,500,258.914,232.0
pooled_2024,junior,363,38.7674982468489,36.38153846153847,363,-83.57459116292645,-75.75245283018862,363,43.05552045163288,40.0,363,55.755396867340004,47.5,363,0.8582659518826264,0.8648648648648649,363,90.7961432506887,86.0,363,250.94214876033058,235.0
pooled_2024,mid,39,38.85831498422911,34.11884615384615,39,-81.27083378223503,-74.0869565217391,39,43.093808053558774,38.83333333333334,39,57.41440781440781,49.0,39,0.837149441717175,0.8532110091743119,39,105.17948717948718,94.0,39,289.0769230769231,256.0
pooled_2024,senior,1000,40.17625950124301,35.54576923076923,1000,-85.05214655935173,-74.49387860982125,1000,44.600252278822325,40.261922876109494,1000,60.59652778250024,49.675,1000,0.8454893135227041,0.851063829787234,1000,106.74,97.0,1000,292.768,264.0
pooled_2024,unknown,1000,37.18381307819908,31.941254578754585,1000,-76.16762464214796,-65.92842189314749,1000,41.340413951928895,35.81818181818182,1000,53.53921185889022,39.0,1000,0.8463461055651401,0.85,1000,91.557,84.5,1000,250.873,224.5
scraped_2026,junior,601,44.04707121916038,41.71313432835821,601,-91.78229103417328,-88.72927835051544,601,48.72291440589564,46.45853658536586,601,72.39911457095317,66.0,601,0.8446910172714468,0.8472222222222222,601,105.33777038269551,97.0,601,280.828618968386,257.0
scraped_2026,mid,51,44.872272021553485,41.82000000000001,51,-92.94139273830001,-89.86415137614676,51,49.878846777509175,46.57777777777778,51,75.07002801120449,67.0,51,0.8209225814544652,0.8316831683168316,51,124.31372549019608,110.0,51,329.94117647058823,302.0
scraped_2026,senior,1000,46.800225147116805,43.064972215042644,1000,-96.69461688952595,-87.4676470588235,1000,51.78707194462784,47.82734729117203,1000,80.72339383116882,71.0,1000,0.8247922197816906,0.8298936170212765,1000,126.85,118.0,1000,334.113,312.5
scraped_2026,unknown,1000,46.10948501827294,42.5459022556391,1000,-94.57727015016107,-88.5626943779904,1000,51.032569355639644,47.357523657203785,1000,79.13173358585858,70.0,1000,0.8240917689848587,0.8285714285714286,1000,111.366,104.0,1000,293.354,269.0
