corpus_group,seniority_3level,n,mean_char_len,median_char_len,mean_prop_core_req_resp_pref,mean_prop_boilerplate,mean_chars_requirements,mean_chars_responsibilities,mean_chars_preferred,mean_chars_boilerplate
arshkon_2024,junior,174,868.1666666666666,895.0,0.3219618189315687,0.0017823514513174484,220.82758620689654,88.59770114942529,0.5804597701149425,1.9655172413793103
arshkon_2024,mid,15,1118.8,877.0,0.4401744513850144,0.0,398.46666666666664,204.66666666666666,0.0,0.0
arshkon_2024,senior,2066,977.9898354307841,892.5,0.3763358279645242,0.001067284503118851,309.9486931268151,117.85624394966118,1.617618586640852,1.5493707647628268
arshkon_2024,unknown,2398,837.8798999165972,759.5,0.34696113455302735,0.0009360359250555097,244.28023352793994,111.93452877397831,1.359466221851543,1.0959132610508757
asaniczka_2024,junior,201,808.5074626865671,734.0,0.42269300476837113,0.00010284494838469153,258.2587064676617,110.77611940298507,4.582089552238806,0.19900497512437812
asaniczka_2024,mid,24,902.9166666666666,905.5,0.453485728070608,0.021264367816091954,325.875,120.16666666666667,0.0,15.416666666666666
asaniczka_2024,senior,10756,1005.7537188545928,918.5,0.4464460362012535,0.0005299047006082079,385.3903867608777,120.78105243584976,1.4195797694310153,0.5060431387132763
asaniczka_2024,unknown,6011,877.7730826817501,793.0,0.4201093714308682,0.0007989342395107427,311.5511562136084,120.23922808184994,1.4732989519214772,0.6137082016303443
pooled_2024,junior,375,836.1893333333334,785.0,0.37595373454009473,0.0008821359657454908,240.89066666666668,100.48533333333333,2.7253333333333334,1.0186666666666666
pooled_2024,mid,39,985.9487179487179,877.0,0.44836600626845663,0.013085764809902742,353.79487179487177,152.66666666666666,0.0,9.487179487179487
pooled_2024,senior,12822,1001.2801435033537,915.0,0.43514922679421153,0.0006164923368573882,373.23451879581967,120.3097800655124,1.4514896272032445,0.6741537981594135
pooled_2024,unknown,8409,866.3967178023546,785.0,0.3992496411379616,0.0008380316163613016,292.3674634320371,117.87097157807112,1.440837198239981,0.7512189320965632
scraped_2026,junior,601,967.6289517470882,884.0,0.44303899506401323,0.0018476512684186788,326.9517470881864,126.90016638935109,0.8868552412645591,0.8668885191347754
scraped_2026,mid,51,1139.8039215686274,1065.0,0.3851895909648897,0.0,375.1764705882353,109.56862745098039,0.0,0.0
scraped_2026,senior,6164,1174.8549643088904,1090.0,0.41265576188389425,0.0009461530930520501,382.6802401038287,146.00535366645036,0.8040233614536015,1.582414016872161
scraped_2026,unknown,5640,1019.1789007092199,936.0,0.4139777853255152,0.0016917222956767365,326.5531914893617,148.425,0.500531914893617,1.8856382978723405
