corpus_group,seniority_3level,n,mean_imperative_per_1k,median_imperative_per_1k,pooled_imperative_per_1k,share_any_imperative,mean_inclusive_per_1k,median_inclusive_per_1k,pooled_inclusive_per_1k,share_any_inclusive,mean_passive_formal_per_1k,median_passive_formal_per_1k,pooled_passive_formal_per_1k,share_any_passive_formal,mean_direct_address_per_1k,median_direct_address_per_1k,pooled_direct_address_per_1k,share_any_direct_address,mean_marketing_per_1k,median_marketing_per_1k,pooled_marketing_per_1k,share_any_marketing
arshkon_2024,junior,174,0.06439987343828954,0.0,0.08605795009962863,0.05172413793103448,0.07740999013702593,0.0,0.07281826546891654,0.040229885057471264,0.009530889613236499,0.0,0.0066198423153560485,0.005747126436781609,0.03932549105262252,0.0,0.039719053892136286,0.028735632183908046,0.2978532228091074,0.0,0.3177524311370903,0.21839080459770116
arshkon_2024,mid,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18768955464423637,0.0,0.11917530687641521,0.13333333333333333
arshkon_2024,senior,2066,0.09158768130172475,0.0,0.06780409269462868,0.044530493707647625,0.018339561710524477,0.0,0.020786656154557697,0.014036786060019362,0.0020286547646217513,0.0,0.002969522307793957,0.002904162633107454,0.06766662743413293,0.0,0.08067202269506916,0.02516940948693127,0.3169745314700805,0.0,0.3058607977027776,0.22942884801548888
arshkon_2024,unknown,2398,0.13674324634583618,0.0,0.110987459910135,0.05546288573811509,0.005217189845509062,0.0,0.006470120981308318,0.0050041701417848205,0.000731820208713479,0.0,0.0009954032278935874,0.0008340283569641367,0.037259230008283344,0.0,0.04031383072969029,0.015012510425354461,0.20621882769746894,0.0,0.19957834719266426,0.1359466221851543
asaniczka_2024,junior,201,0.0,0.0,0.0,0.0,0.005087039241420709,0.0,0.006153467478924374,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2774042116706106,0.0,0.2892129715094456,0.19900497512437812
asaniczka_2024,mid,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26225868316464457,0.0,0.3230272265805261,0.16666666666666666
asaniczka_2024,senior,10756,0.010878828614710843,0.0,0.007117841034945179,0.006879880996653031,0.00026040551322551163,0.0,0.000369757975841308,0.0003718854592785422,0.0005042273959476697,0.0,0.000739515951682616,0.0007437709185570844,0.0019667588785228585,0.0,0.001479031903365232,0.0012086277426552623,0.3185503256759166,0.0,0.2751923735198935,0.22043510598735588
asaniczka_2024,unknown,6011,0.011650540772597034,0.0,0.008339186557837755,0.007319913491931459,0.0012578119763002398,0.0,0.0003790539344471707,0.00033272334054233906,0.0004958010235461442,0.0,0.000568580901670756,0.0004990850108135085,0.0023570971399297577,0.0,0.001705742705012268,0.0006654466810846781,0.21545074993868923,0.0,0.20051953132255332,0.1404092497088671
pooled_2024,junior,375,0.029881541275366345,0.0,0.04145791543223066,0.024,0.03864488845698153,0.0,0.03826884501436676,0.021333333333333333,0.004422332780541736,0.0,0.0031890704178638967,0.0026666666666666666,0.01824702784841685,0.0,0.01913442250718338,0.013333333333333334,0.28689255283887316,0.0,0.3029616896970702,0.208
pooled_2024,mid,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2335782491183337,0.0,0.23405804639550606,0.15384615384615385
pooled_2024,senior,12822,0.023883390278364783,0.0,0.016668725591805964,0.012946498206208079,0.003173487458602182,0.0,0.0035829970898274507,0.0025737014506317267,0.0007498573244830503,0.0,0.0010904773751648762,0.0010918733426922478,0.012552933300289386,0.0,0.013942532153893775,0.0050694119482140075,0.3182964190444041,0.0,0.2800190116941236,0.22188426142567463
pooled_2024,unknown,8409,0.04732330899291187,0.0,0.03664798580199382,0.02104887620406707,0.0023869103388121623,0.0,0.002058875606853585,0.0016648828635985255,0.0005631067681092633,0.0,0.0006862918689511951,0.0005946010227137591,0.012310161073609374,0.0,0.01235325364112151,0.004756808181710073,0.2128180766678549,0.0,0.2002599673599587,0.13913663931501963
scraped_2026,junior,601,0.007219543365853638,0.0,0.005158672157786586,0.004991680532445923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013593901232151206,0.0,0.001719557385928862,0.0016638935108153079,0.5326882716247868,0.0,0.4522435924992907,0.3161397670549085
scraped_2026,mid,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577472866301191,0.0,0.22363667641493204,0.19607843137254902
scraped_2026,senior,6164,0.011801153896625111,0.0,0.008837574494539069,0.010220635950681376,0.0003042057306145535,0.0,0.0004142613044315189,0.0004866969500324465,0.0002629373041774427,0.0,0.00013808710147717295,0.00016223231667748214,0.0012855799712622258,0.0,0.0015189581162489026,0.0016223231667748216,0.3646971252790132,0.0,0.33265182745850963,0.2920181700194679
scraped_2026,unknown,5640,0.026201832890441104,0.0,0.015483191256206974,0.015425531914893617,0.0010647538319668776,0.0,0.0010438106464858636,0.0010638297872340426,0.0002723578564347267,0.0,0.00017396844108097728,0.0001773049645390071,0.0007184205315314095,0.0,0.0008698422054048864,0.0008865248226950354,0.30405048512894395,0.0,0.2884396753122603,0.22854609929078015
