metro_area,n_2024,n_2026
Akron Metro,2,0
Albany Metro,4,0
Albuquerque Metro,7,0
Anchorage Metro,1,0
Atlanta Metro,139,988
Austin Metro,95,1037
Birmingham Metro,3,0
Boise City Metro,2,0
Boston Metro,132,1404
Buffalo-Cheektowaga Metro,3,0
Charleston-North Charleston Metro,1,0
Charlotte Metro,75,971
Chicago Metro,151,934
Cincinnati Metro,15,0
Cleveland Metro,14,0
Columbia Metro,2,0
Columbus Metro,39,471
Dallas-Fort Worth Metro,245,1841
Dayton-Kettering-Beavercreek Metro,4,0
Denver Metro,80,688
Des Moines Metro,3,0
Detroit Metro,67,553
El Paso Metro,1,0
Grand Rapids-Wyoming-Kentwood Metro,3,0
Greensboro-High Point Metro,5,0
Greenville-Anderson-Greer Metro,1,0
Harrisburg-Carlisle Metro,12,0
Hartford-West Hartford-East Hartford Metro,6,0
Houston Metro,65,468
Huntsville Metro,9,0
Indianapolis Metro,11,0
Jacksonville Metro,3,0
Knoxville Metro,2,0
Las Vegas Metro,10,0
Lexington-Fayette Metro,2,0
Lincoln Metro,1,0
Los Angeles Metro,121,1537
Louisville Metro,7,0
Madison Metro,10,0
Memphis Metro,7,0
Miami Metro,28,272
Milwaukee Metro,14,0
Minneapolis-Saint Paul,54,493
Nashville Metro,11,205
New Orleans Metro,2,0
New York City Metro,13,1862
Oklahoma City Metro,3,0
Omaha Metro,10,0
Orlando Metro,17,0
Philadelphia Metro,80,765
Phoenix Metro,75,635
Pittsburgh Metro,40,421
Portland Metro,14,153
Raleigh-Durham-Chapel Hill,51,499
Reno Metro,6,0
Richmond Metro,33,0
Rochester Metro,3,0
Sacramento Metro,6,0
Salt Lake City Metro,31,1595
San Antonio Metro,8,0
San Diego Metro,53,460
San Francisco Bay Area,359,4539
Seattle Metro,173,2025
St. Louis Metro,7,0
Syracuse Metro,3,0
Tallahassee Metro,6,0
Tampa Bay Metro,42,263
Tucson Metro,10,0
Tulsa Metro,5,0
Virginia Beach-Chesapeake-Norfolk Metro,4,0
Washington DC Metro,250,2682
Wichita Metro,2,0
Winston-Salem Metro,2,0
