topic_id,n_docs,pct_of_sample,top_5_terms,top_20_terms,senior_pct,mid_pct,junior_pct,unknown_pct,period_2024_01_pct,period_2024_04_pct,period_2026_03_pct,mean_desc_length,mean_yoe,median_yoe,mean_tech_count,aggregator_pct,remote_or_distributed,suggested_name
0,501,6.260934766308423,"data, data engineer, data engineering, snowflake, analytics","data, data engineer, data engineering, snowflake, analytics, data pipelines, spark, etl, big data, data quality",82.63473053892216,4.790419161676647,8.383233532934131,4.191616766467066,45.70858283433134,11.57684630738523,42.71457085828344,2622.554890219561,5.354395604395604,5.0,9.201596806387226,17.56487025948104,,Data Engineering
1,271,3.3866533366658333,"spring, spring boot, boot, java, java spring","spring, spring boot, boot, java, java spring, microservices, backend, java developer, api, angular",80.07380073800738,7.011070110701106,7.7490774907749085,5.166051660516605,44.28044280442804,19.18819188191882,36.53136531365313,1711.4243542435424,5.788819875776397,5.0,10.77490774907749,15.498154981549817,,Backend/API
2,216,2.6993251687078232,"net, aspnet, sql server, net developer, net core","net, aspnet, sql server, net developer, net core, mvc, sql, web, entity framework, entity",83.33333333333334,5.555555555555555,8.796296296296296,2.314814814814815,62.03703703703704,19.90740740740741,18.055555555555554,1674.8564814814815,5.051470588235294,5.0,7.361111111111111,12.037037037037036,,Cluster (net)
3,202,2.5243689077730567,"great, culture, want, fintech, company","great, culture, want, fintech, company, people, impact, offer, customers, product",89.10891089108911,2.9702970297029703,4.455445544554455,3.4653465346534658,7.920792079207921,0.0,92.07920792079209,3928.4653465346537,5.148648648648648,5.0,8.049504950495049,2.9702970297029703,,Cluster (great)
4,190,2.3744063984004,"martin, lockheed, lockheed martin, flight, aircraft","martin, lockheed, lockheed martin, flight, aircraft, space, avionics, aerospace, systems engineering, position",82.63157894736842,2.631578947368421,12.105263157894736,2.631578947368421,54.21052631578947,6.315789473684211,39.473684210526315,3242.778947368421,6.134751773049645,5.0,3.163157894736842,28.421052631578945,,Cluster (martin)
5,186,2.324418895276181,"embedded, firmware, embedded software, embedded systems, rtos","embedded, firmware, embedded software, embedded systems, rtos, hardware, embedded firmware, firmware engineer, experience embedded, spi",78.49462365591397,6.451612903225806,6.989247311827956,8.064516129032258,54.83870967741935,14.516129032258066,30.64516129032258,2128.930107526882,5.2682926829268295,5.0,2.424731182795699,13.978494623655912,,Embedded/Systems
6,175,2.186953261684579,"project, software development, issues, business, develops","project, software development, issues, business, develops, applications, documentation, software, computer, edi",76.0,9.714285714285714,11.428571428571429,2.857142857142857,59.42857142857143,17.71428571428571,22.857142857142858,2719.1657142857143,5.236641221374046,5.0,6.354285714285714,9.142857142857142,,Cluster (project)
7,166,2.074481379655086,"manufacturing, sales, equipment, mechanical, drawings","manufacturing, sales, equipment, mechanical, drawings, customer, industrial, structural, project, product engineer",60.24096385542169,20.481927710843372,13.855421686746988,5.421686746987952,55.42168674698795,17.46987951807229,27.10843373493976,2648.4638554216867,4.5,4.0,0.6325301204819277,3.614457831325301,,Cluster (manufacturing)
8,166,2.074481379655086,"dice, careers client, following apply, experts stage, leading career","dice, careers client, following apply, experts stage, leading career, destination tech, stage careers, tech experts, apply dice, dice today",80.12048192771084,0.0,19.27710843373494,0.6024096385542169,6.024096385542169,0.6024096385542169,93.37349397590361,2059.409638554217,6.01063829787234,5.0,9.337349397590362,98.19277108433735,,Cluster (dice)
9,150,1.8745313671582104,"apply preferred, implement support, test implement, solutions fullstack, open source","apply preferred, implement support, test implement, solutions fullstack, open source, collaborate agile, external technology, support technical, tech trends, technology communities",92.0,0.6666666666666667,5.333333333333334,2.0,78.66666666666666,11.333333333333332,10.0,1557.58,4.73015873015873,4.0,11.12,56.00000000000001,,Cluster (apply preferred)
10,130,1.6245938515371157,"vmware, network, windows, cisco, virtualization","vmware, network, windows, cisco, virtualization, msp, dns, server, administration, directory",78.46153846153847,10.76923076923077,8.461538461538462,2.307692307692308,71.53846153846153,17.692307692307693,10.76923076923077,2355.392307692308,5.592105263157895,5.0,2.9,6.923076923076923,,Cluster (vmware)
