method,n_topics,noise_pct,stability_ari,notes
BERTopic (mts=20),146,11.947013246688329,1.0,More granular
BERTopic (mts=30),94,11.672081979505124,1.0,PRIMARY
BERTopic (mts=50),51,14.233941514621344,1.0,Coarser
NMF (k=5),5,0.0,,
NMF (k=8),8,0.0,,
NMF (k=12),12,0.0,,
NMF (k=15),15,0.0,0.9961436727751775,comparison
