dimension,nmi,v_measure
seniority_3level,0.029286795391270912,0.029286795391270916
period,0.07339606672947761,0.07339606672947761
swe_tier,0.03982587336495155,0.03982587336495155
tech_domain,0.016682574133521977,0.016682574133521977
is_aggregator,0.05432770219334803,0.054327702193348024
