bt_id,bt_name,bt_terms,nmf_id,nmf_terms,jaccard,robust
0,Frontend/Web Development,"development, software, experience, design, applications",3,"web, developer, javascript, net, applications",0.1111111111111111,True
1,Embedded/Systems,"test, systems, software, engineering, requirements",7,"clearance, systems, security clearance, embedded, secret",0.15384615384615385,True
2,Data/Analytics,"data, cloud, aws, azure, experience",4,"infrastructure, cloud, devops, ci, cd",0.15384615384615385,True
3,ML/AI Engineering,"ai, build, learning, building, work",12,"product, building, build, backend, end",0.2,True
4,Mobile Development,"android, ios, mobile, kotlin, app",3,"web, developer, javascript, net, applications",0.034482758620689655,False
5,Benefits-Heavy Postings,"geographic market, geographic, highest geographic, salary, california",0,"benefits, pay, range, employees, salary",0.034482758620689655,False
6,AI-Focused Engineering,"jobs, site helps, behalf direct, job boardemployer, agencies marketing",-1,N/A,0.0,False
7,General SWE (pwc),"pwc, data, data analytics, analytics, ai",5,"ai, ml, machine learning, machine, models",0.1111111111111111,True
8,General SWE (anduril),"anduril, ubuntu, agency, military, parenting",1,"open source, years experience, open, degree years, source",0.034482758620689655,False
9,General SWE (server infrastructure),"server infrastructure, server, years following, infrastructure engineer, blade",9,"server infrastructure, server, policies procedures, years following, engineer requires",0.42857142857142855,True
10,Cloud-Centric Engineering,"streaming data, cassandra, data services, kafka, zookeeper",10,"scale, streaming data, cassandra, large scale, streaming",0.15384615384615385,True
11,Benefits-Heavy Postings,"buy, responses, spending, roles, pay",0,"benefits, pay, range, employees, salary",0.034482758620689655,False
12,General SWE (chatbots),"chatbots, javascript html, python javascript, coding, pwc",3,"web, developer, javascript, net, applications",0.034482758620689655,False
13,General SWE (certified safe),"certified safe, certified, tax, graphql, safe",-1,N/A,0.0,False
