period2,sec_summary_chars,sec_responsibilities_chars,sec_requirements_chars,sec_preferred_chars,sec_benefits_chars,sec_about_company_chars,sec_legal_chars,sec_unclassified_chars,sec_total
2024,463.4,839.1,1021.9,387.8,357.9,154.2,178.7,697.1,4100.0
2026,769.7,1192.5,989.6,674.4,658.7,245.6,251.7,608.2,5390.4
