period,uid,source,title,matched_sub,context_200c
2024,asaniczka_e8c08c369b151d1c,kaggle_asaniczka,Frontend Developer,teams, attention detail ability agile/scrum excellent communication teamwork effectively cross-functional teams bachelor degree technology related fields/technologies bachelor degree willing relocate u.s tn card
2024,asaniczka_27a8934867d62176,kaggle_asaniczka,Senior Mainframe Developer and Technical Lead,teams,ng meetings provide estimates recommendations customer participate scrum calls ownership coordinate teams needed define application scope objectives prepare and/or functional specifications prepare high-le
2024,asaniczka_ed2b33afac3bfd68,kaggle_asaniczka,SDS Division Staff Systems Engineer (9323-1) with Security Clearance,teams, writing auditable systems governance documents models coordinate multiple ipts/programs functional teams management management management specifications procedures governance implement governance multiple
2024,arshkon_3902371596,kaggle_arshkon,Principal Controls Software Engineer,teams,ator considerations hands-on medical/surgical devices/instruments company already worked functional teams international prototype c++ open-ended
2024,asaniczka_8270afe66c86c348,kaggle_asaniczka,Staff Systems Engineer - Deputy Program Manager with Security Clearance,teams,ems serve facilitate contract-related communication collaborative positive closely cross-functional teams including capture management global gsc contracts management ensure execution facilitate communicat
2024,asaniczka_8174ca2ee4496f15,kaggle_asaniczka,"Associate, Global Banking & Markets, Software Engineer",teams,teams massively software systems architect low latency solutions proactively threats alongside continuous
2024,asaniczka_30b8c8d36cba5302,kaggle_asaniczka,Senior Software Engineer Core,teams,oblem-solving ability effectively pressure excellent communication ability closely cross-functional teams passion desire contribute world-class quant
2024,asaniczka_156b01761a3a0778,kaggle_asaniczka,Staff Embedded Systems Software Engineer,teams, state-of-the-art techniques identify bottlenecks optimization debug effectively multi-disciplinary teams exert influence externally os vendors representing immediate guiding direction external roadmaps pc
2024,arshkon_3902300273,kaggle_arshkon,Senior Developer,teams,l-time messaging.design microservices apis leveraging services ec2 rds.collaborate cross-functional teams requirements solutions implement features.write maintainable following practices standards.perform 
2024,asaniczka_bccab41a8248ec24,kaggle_asaniczka,Senior Software Engineer with Security Clearance,teams,ing constraints perform implement recommendations documentation software standards oversee software teams ensure completed accordance constraints software used confer derive software requirements obtain li
2024,arshkon_3905338566,kaggle_arshkon,Digital Engineer III (Azure Data Engineer),teams,capitalizing making achieving outcomes business.derive differentiate member member cross-functional teams.analyze define teams migration strategies.apply visualization solutions variety problems.querying a
2024,asaniczka_c5a6a9e1bdf03f49,kaggle_asaniczka,Data/Software Engineer II/III,teams,riving improve software best-practices caring creating problems creates reusable supporting variety teams collaborative paced fun endless experienced developing cutting-edge contributing industry life-long
2024,asaniczka_fa8fdf82b189a8cd,kaggle_asaniczka,Software Development Engineer,teams,region requiring close teams qualifications non-internship software non-internship scaling existing systems software qualificati
