period,uid,source,title,matched_sub,context_200c
2026,linkedin_li-4400648385,scraped,"Software Engineer, AI, Platform",prompt engineering,aphql apis ci/cd pipelines kubernetes familiarity hands-on frameworks mcp llm apis anthropic/openai prompt engineering/evals communication collaborative capable explaining trade-offs teammates effectively distributed m
2026,linkedin_li-4374736069,scraped,Sr. AI Engineer,prompt engineering,ions orchestrate workflows improve productivity without sacrificing role role fine-tuning-only role prompt engineering-only role chatbot demo builder role candidate systems ships capabilities measures functionality und
