period,uid,source,title,matched_sub,context_200c
2024,asaniczka_6fcb004b1b2846f1,kaggle_asaniczka,"Senior Data Engineer, Investments Technology",fine-tune,st etc continuously expanded yet increasingly coverage ultimately optimizing time-to-market overall fine-tune existing pipelines scalability implement checks ensure accuracy consistency stay industry trends pr
2024,arshkon_3905236643,kaggle_arshkon,Senior Machine Learning Engineer,rag,s recommendation models llm end to-end setting seeing models deployment driving ideation deployment rag currently large unstructured sets bachelors mathematics proficiency powerbi sql dataverse
2024,asaniczka_abfb96f8ad8a6472,kaggle_asaniczka,"Senior Software Engineer, Applied AI",fine tuning,ly ai/ml strongly proficient javascript javascript type systems technologies including large models fine tuning databases prompt excellent communication verbal written worked issues requires in-depth existing de
2024,arshkon_3901994718,kaggle_arshkon,Software Engineer,fine tune,lication modules configure internal single sign-on chase.com environments compliance-related issues fine tune solutions govern migration efforts environments cicd various tasks participate participate design-l
2024,asaniczka_61de67fa7ad54a98,kaggle_asaniczka,WildFire- Principal Machine Learning Engineer,fine tune,ques prior models algorithms xgboost cnns etc frameworks pytorch tensorflow related areas llm hands fine tune gcp/aws/azure kubernetes hands can-do attitude willing technologies phd science/engineering require
2024,asaniczka_3e74e2e3b10bc549,kaggle_asaniczka,Machine Learning Engineer,fine tuning,ease note requires existing clearance polygraph responsibilities duties best-in-class models models fine tuning ensembles re-purposed reused covering following domains classification supervised unet yolo similar
2024,asaniczka_f4faa9900409df0d,kaggle_asaniczka,Senior Software Developer,fine tune,ments systems teams close feedback loops squash bugs deliver software comes looking fresh baked pie fine tune deployment triaging outages participate meetings management discuss features improvement ones quali
2024,asaniczka_4cbd5e6b15675318,kaggle_asaniczka,Artificial Intelligence Engineer,huggingface,ware technologies cloud-native languages java c++ frameworks tensorflow pytorch scikit-learn models huggingface azure azure services azure functions azure azure azure cosmos terraform azure manager templates
2024,asaniczka_02029b50de94db7c,kaggle_asaniczka,Senior Lead Engineer- Generative AI Engineering (Remote-Eligible),fine-tuning,description seeking experienced help maintain apis sdks enable fine-tuning models world-class researchers implement services real-time customer-facing capabilities responsibi
2024,asaniczka_1e5119ac213ebf7a,kaggle_asaniczka,Generative AI Engineer,fine-tune,omatic summarization chatbot retrieval personalization communication data-driven policymaking fraud fine-tune pre-trained llms specific tasks domains manage pipelines models solutions existing systems includin
