period,pair,cosine_similarity,n_swe,n_adj
2024,SWE_vs_SWE_ADJACENT,0.7848715571907072,200,200
2026,SWE_vs_SWE_ADJACENT,0.825761395272951,200,200
cross_period,SWE_2024_vs_2026,0.8645034237262782,200,200
cross_period,SWE_ADJACENT_2024_vs_2026,0.8270162643492455,200,200
