classifier,metric,swe_delta,adj_delta,control_delta,did_swe_minus_control
T13 classifier,reqs_share_t13,-0.027171062111451455,2.271902419717642e-05,0.04839088553029314,-0.07556194764174459
simple regex,reqs_share_simple,0.11505209529262735,0.022354484905550726,0.06547278387034547,0.04957931142228188
