industry,arshkon_n,scraped_n,arshkon_share,scraped_share
Software Development,611,10618,0.131,0.260
IT Services and IT Consulting,1202,5108,0.258,0.125
Financial Services,391,2929,0.084,0.072
Technology, Information and Internet,106,2000,0.023,0.049
Defense and Space Manufacturing,122,1593,0.026,0.039
Staffing and Recruiting,271,1079,0.058,0.026
Business Consulting and Services,63,725,0.014,0.018
Information Services and Technology, Information and Internet,0,754,0.000,0.018
Hospitals and Health Care,80,589,0.017,0.014
Semiconductor Manufacturing,39,560,0.008,0.014
Retail,69,473,0.015,0.012
Aviation and Aerospace Component Manufacturing,25,493,0.005,0.012
Information Technology & Services,126,304,0.027,0.007
Entertainment Providers,50,378,0.011,0.009
Insurance,63,360,0.014,0.009
Technology, Information and Media,84,330,0.018,0.008
Information Services,150,170,0.032,0.004
Banking,92,199,0.020,0.005
Computer and Network Security,54,236,0.012,0.006
Motor Vehicle Manufacturing,63,226,0.014,0.006
Telecommunications,47,242,0.010,0.006
Appliances, Electrical, and Electronics Manufacturing,53,233,0.011,0.006
Medical Equipment Manufacturing,41,238,0.009,0.006
Internet Publishing,2,276,0.000,0.007
Financial Services, Investment Management, and Banking,0,266,0.000,0.007
Civil Engineering,4,256,0.001,0.006
Research Services,6,247,0.001,0.006
Internet Marketplace Platforms,10,199,0.002,0.005
Automation Machinery Manufacturing,14,184,0.003,0.005
Computer Hardware Manufacturing,25,165,0.005,0.004
