source_a,source_b,n_a,n_b,intersection,jaccard
kaggle_arshkon,scraped,2162,18321,517,0.0259
kaggle_asaniczka,scraped,7577,18321,927,0.0371
kaggle_arshkon,kaggle_asaniczka,2162,7577,449,0.0483
