state,kaggle_arshkon,kaggle_asaniczka,scraped
AK,1,7,0
AL,17,191,0
AR,13,129,0
AZ,85,341,837
CA,562,2589,8056
CO,81,497,989
CT,27,235,100
DC,30,194,438
DE,15,101,236
FL,135,777,753
GA,150,532,1255
HI,0,32,0
IA,15,175,0
ID,13,32,0
IL,156,631,1225
IN,31,189,9
KS,17,80,20
KY,14,57,0
LA,4,56,0
MA,115,675,1733
MD,74,958,1459
ME,11,43,0
MI,85,431,697
MN,59,229,690
MO,26,235,10
MS,6,37,0
MT,3,13,0
NC,140,480,1853
ND,3,5,0
NE,11,71,0
NH,17,101,228
NJ,148,594,1409
NM,11,62,0
NV,19,87,0
NY,235,770,2681
OH,104,472,553
OK,10,93,0
OR,12,114,176
PA,126,563,1032
RI,10,73,80
SC,10,118,28
SD,0,14,0
TN,23,173,252
TX,430,1218,4245
UT,17,252,0
VA,215,1007,2067
VT,0,12,0
WA,179,627,2502
WI,45,209,7
WV,6,17,4
WY,0,2,0
