source,n,mean_desc_len,entry_share_final,yoe_le2_share,mean_yoe,ai_mention_rate
kaggle_arshkon,4691,3306,0.0772,0.1498,5.222,0.0281
kaggle_asaniczka,18129,3881,0.0174,0.1036,5.798,0.0280
scraped,40881,4912,0.0670,0.1719,5.048,0.1878
