platform,n,entry_n,unknown_n,yoe_le2_n,yoe_n,entry_share_of_known,yoe_le2_share
indeed,11860,362,6382,1511,8365,0.0661,0.1806
linkedin,40881,1275,21841,4742,27581,0.0670,0.1719
