level,kaggle_arshkon,kaggle_asaniczka,scraped,kaggle_arshkon_share,kaggle_asaniczka_share,scraped_share
associate,15,24,52,0.007,0.002,0.003
director,13,92,295,0.006,0.008,0.015
entry,175,204,1275,0.077,0.017,0.067
mid-senior,2064,11426,17418,0.910,0.973,0.915
