source_a,source_b,n_a,n_b,intersection,union,jaccard,overlap_rate_a,overlap_rate_b
kaggle_arshkon,scraped,2298,7940,1004,9234,0.1087,0.437,0.126
kaggle_asaniczka,scraped,4948,7940,1529,11359,0.1346,0.309,0.193
kaggle_arshkon,kaggle_asaniczka,2298,4948,742,6504,0.1141,0.323,0.150
