source,n,mean,median,p25,p75,std
kaggle_arshkon,4691,3305.6,2974.0,1534.0,4749.5,2142.4
kaggle_asaniczka,18129,3881.4,3733.0,2288.0,5250.0,2078.5
scraped,40881,4912.0,4862.0,3171.0,6455.0,2343.4
