source,description_quality_flag,n,share_pct
kaggle_arshkon,ok,117396,99.79
kaggle_arshkon,too_short,248,0.21
kaggle_asaniczka,ok,1011835,99.96
kaggle_asaniczka,too_short,358,0.04
scraped,ok,26543,100.0
scraped,too_short,1,0.0
