source,geo,n
kaggle_arshkon,unknown,37
kaggle_arshkon,Washington DC Metro,32
kaggle_asaniczka,Washington DC Metro,23
kaggle_arshkon,New York City Metro,19
kaggle_arshkon,Dallas-Fort Worth Metro,14
kaggle_arshkon,Boston Metro,13
kaggle_arshkon,San Francisco Bay Area,13
kaggle_arshkon,Atlanta Metro,12
kaggle_arshkon,Chicago Metro,11
kaggle_asaniczka,Dallas-Fort Worth Metro,11
kaggle_asaniczka,New York City Metro,11
kaggle_arshkon,Philadelphia Metro,9
kaggle_arshkon,Seattle Metro,9
kaggle_arshkon,FL,7
kaggle_arshkon,NY,7
kaggle_asaniczka,Denver Metro,7
kaggle_asaniczka,TX,7
kaggle_asaniczka,unknown,7
kaggle_arshkon,Columbus Metro,6
kaggle_arshkon,Salt Lake City Metro,6
kaggle_arshkon,TX,6
kaggle_asaniczka,Salt Lake City Metro,6
scraped,Washington DC Metro,6
kaggle_arshkon,Denver Metro,5
kaggle_arshkon,Houston Metro,5
