source,ghost_job_risk,n,share_pct
kaggle_arshkon,high,170,0.145
kaggle_arshkon,low,117327,99.731
kaggle_arshkon,medium,147,0.125
kaggle_asaniczka,high,33,0.003
kaggle_asaniczka,low,1012025,99.983
kaggle_asaniczka,medium,135,0.013
scraped,high,12,0.045
scraped,low,26515,99.891
scraped,medium,17,0.064
