source,title,company_name,seniority_final,description_length
scraped,REGISTERED NURSE I (College of Nursing and Allied Health Graduate),Lensa,entry,25216
kaggle_asaniczka,Adolescent Behavioral Health Therapist - Substance Use Specialty (Entry Senior Level) Psychiatry,ClickJobs.io,mid-senior,23748
kaggle_arshkon,Human Services Professional IV (Autism Spectrum Disorder) - Kauai District,Hawaii State Department of Education,unknown,23201
kaggle_asaniczka,"Chief, Police and Campus Safety",Mt. San Antonio College,director,22998
kaggle_arshkon,Aircraft Mechanic - Parachute Rigger with Security Clearance,ClearanceJobs,unknown,22962
scraped,SUPERVISING DEPUTY PROBATION OFFICER,County of Los Angeles,unknown,22870
kaggle_asaniczka,Anthropology Professor - Part-time,Tacoma Community College,unknown,22790
kaggle_asaniczka,Program Analyst (12-Month Roster),"IRS, Office of Chief Counsel",unknown,22774
kaggle_asaniczka,Program Analyst (12-Month Roster),"IRS, Office of Chief Counsel",unknown,22774
kaggle_asaniczka,Program Analyst (12-Month Roster),"IRS, Office of Chief Counsel",unknown,22774
kaggle_asaniczka,Program Analyst (12-Month Roster),"IRS, Office of Chief Counsel",unknown,22774
kaggle_asaniczka,Program Analyst (12-Month Roster),"IRS, Office of Chief Counsel",unknown,22774
kaggle_asaniczka,Program Analyst (12-Month Roster),"IRS, Office of Chief Counsel",unknown,22774
kaggle_asaniczka,Program Analyst (12-Month Roster),"IRS, Office of Chief Counsel",unknown,22774
kaggle_asaniczka,Psychology Professor - Part-Time,Tacoma Community College,unknown,22718
kaggle_arshkon,Logistics Management Specialist with Security Clearance,ClearanceJobs,unknown,22709
kaggle_asaniczka,Senior Purchasing and Contracts Specialist,South Orange County Community College District,mid-senior,22705
kaggle_asaniczka,Ochsner LSU Health Shreveport: Emergency Medicine Physician; Academic; Residency Program Director,Ochsner LSU Health,director,22693
kaggle_asaniczka,Internal Revenue Agent (Senior Exempt Organizations-Examiner) 12-MONTH ROSTER AMENDED,"IRS, Office of Chief Counsel",mid-senior,22670
kaggle_asaniczka,Internal Revenue Agent (Senior Exempt Organizations-Examiner) 12-MONTH ROSTER AMENDED,"IRS, Office of Chief Counsel",mid-senior,22670
kaggle_asaniczka,Internal Revenue Agent (Senior Exempt Organizations-Examiner) 12-MONTH ROSTER AMENDED,"IRS, Office of Chief Counsel",mid-senior,22670
kaggle_asaniczka,Fish Biologist (Deputy Project Leader),ecocareers,unknown,22663
kaggle_asaniczka,Transportation Engineer (Continuous),City of Oakland,unknown,22629
kaggle_asaniczka,Support Services Specialist (Facilities Management Consultant) 12-MONTH ROSTER,"IRS, Office of Chief Counsel",unknown,22628
kaggle_asaniczka,Support Services Specialist (Facilities Management Consultant) 12-MONTH ROSTER,"IRS, Office of Chief Counsel",unknown,22628
kaggle_asaniczka,Support Services Specialist (Facilities Management Consultant) 12-MONTH ROSTER,"IRS, Office of Chief Counsel",unknown,22628
kaggle_asaniczka,Support Services Specialist (Facilities Management Consultant) 12-MONTH ROSTER,"IRS, Office of Chief Counsel",unknown,22628
kaggle_asaniczka,Support Services Specialist (Facilities Management Consultant) 12-MONTH ROSTER,"IRS, Office of Chief Counsel",unknown,22628
kaggle_asaniczka,Support Services Specialist (Facilities Management Consultant) 12-MONTH ROSTER,"IRS, Office of Chief Counsel",unknown,22628
kaggle_asaniczka,Support Services Specialist (Facilities Management Consultant) 12-MONTH ROSTER,"IRS, Office of Chief Counsel",unknown,22628
kaggle_asaniczka,Network Engineer,Placer County,associate,22604
kaggle_asaniczka,AMENDED Operations Research Analyst (12 MONTH ROSTER),"IRS, Office of Chief Counsel",unknown,22573
kaggle_asaniczka,AMENDED Operations Research Analyst (12 MONTH ROSTER),"IRS, Office of Chief Counsel",unknown,22573
kaggle_asaniczka,AMENDED Operations Research Analyst (12 MONTH ROSTER),"IRS, Office of Chief Counsel",unknown,22573
kaggle_asaniczka,AMENDED Operations Research Analyst (12 MONTH ROSTER),"IRS, Office of Chief Counsel",unknown,22573
kaggle_asaniczka,AMENDED Operations Research Analyst (12 MONTH ROSTER),"IRS, Office of Chief Counsel",unknown,22573
kaggle_asaniczka,AMENDED Operations Research Analyst (12 MONTH ROSTER),"IRS, Office of Chief Counsel",unknown,22573
kaggle_asaniczka,Academic/Student Services Manager,Contra Costa Community College District,unknown,22548
kaggle_asaniczka,Physical Education Instructor - Part-Time,Tacoma Community College,unknown,22546
kaggle_asaniczka,Allied Health Instructor,SIERRA JOINT COMMUNITY COLLEGE DISTRICT,unknown,22522
