source,company_name_canonical,n
kaggle_asaniczka,"Medical Diagnostic Laboratories, L.L.C. (MDL)",26
kaggle_asaniczka,Genesis Biotechnology Group,25
kaggle_asaniczka,BCG Attorney Search,15
kaggle_arshkon,Actalent,14
kaggle_arshkon,Dice,10
kaggle_arshkon,Piper Companies,9
kaggle_asaniczka,ClearanceJobs,9
kaggle_arshkon,Collabera,8
kaggle_arshkon,Leidos,7
kaggle_arshkon,Experis,6
kaggle_arshkon,Talentify.io,6
kaggle_arshkon,VolunteerMatch,6
kaggle_arshkon,CGI,5
kaggle_arshkon,Open Systems Technologies,5
kaggle_asaniczka,SIXT,5
kaggle_arshkon,Apex Systems,4
kaggle_arshkon,"BAE Systems, Inc.",4
kaggle_arshkon,CACI International Inc,4
kaggle_arshkon,Jobot,4
kaggle_arshkon,Koniag Government Services,4
kaggle_asaniczka,CyberCoders,4
kaggle_arshkon,Baylor Scott & White Health,3
kaggle_arshkon,Creative Financial Staffing (CFS),3
kaggle_arshkon,GF Piping Systems,3
kaggle_arshkon,Halff,3
