archetype_name,year,n,denominator_labeled_rows,share
AI LLM Platforms,2024,664,21361,0.03108468704648659
AI LLM Platforms,2026,2160,12380,0.17447495961227788
Cloud DevOps Infrastructure,2024,2133,21361,0.0998548757080661
Cloud DevOps Infrastructure,2026,1974,12380,0.1594507269789984
Defense Clearance Systems,2024,2867,21361,0.13421656289499556
Defense Clearance Systems,2026,914,12380,0.07382875605815832
Embedded Firmware Systems,2024,1600,21361,0.07490286035297973
Embedded Firmware Systems,2026,967,12380,0.07810985460420032
Enterprise Application Support,2024,7239,21361,0.33888862880951265
Enterprise Application Support,2026,2269,12380,0.18327948303715672
Java Dotnet Web Services,2024,4221,21361,0.19760310846870466
Java Dotnet Web Services,2026,1696,12380,0.1369951534733441
Large Employer Data Platforms,2024,1162,21361,0.05439820233135153
Large Employer Data Platforms,2026,517,12380,0.041760904684975765
Product Backend Engineering,2024,1475,21361,0.06905107438790319
Product Backend Engineering,2026,1883,12380,0.15210016155088854
