representation,factor,groups,eta_squared
embedding_v1_shared_sample,archetype_name,8,0.11114972017406835
embedding_v1_shared_sample,source_group,3,0.010070047155805095
embedding_v1_shared_sample,year,2,0.007727445148272632
embedding_v1_shared_sample,seniority_3level,4,0.007067330890333841
tfidf_svd_v1_rerun,archetype_name,8,0.13072346927600648
tfidf_svd_v1_rerun,source_group,3,0.015527310327118281
tfidf_svd_v1_rerun,year,2,0.012969664835988041
tfidf_svd_v1_rerun,seniority_3level,4,0.006843562037647056
