representation,corpus,junior_n,senior_n,junior_senior_similarity,arshkon_to_scraped_shift,pooled_2024_to_scraped_shift,within_2024_asaniczka_minus_arshkon,reported_embedding_arshkon_to_scraped_shift,reported_embedding_within_2024_shift,reported_tfidf_arshkon_to_scraped_shift
embedding_v1_shared_sample,arshkon,166,337,0.9543308510258511,0.004960469262043521,-0.015107647793658474,0.021508879273799297,0.00496,0.021509,
embedding_v1_shared_sample,asaniczka,197,1663,0.9758397302996504,0.004960469262043521,-0.015107647793658474,0.021508879273799297,0.00496,0.021509,
embedding_v1_shared_sample,pooled_2024,363,2000,0.9743989680815531,0.004960469262043521,-0.015107647793658474,0.021508879273799297,0.00496,0.021509,
embedding_v1_shared_sample,scraped_2026,601,2000,0.9592913202878947,0.004960469262043521,-0.015107647793658474,0.021508879273799297,0.00496,0.021509,
tfidf_svd_v1_rerun,arshkon,166,337,0.8979282971736811,-0.04757318672856614,-0.0857570529279924,0.040008277997309105,,,-0.042468
tfidf_svd_v1_rerun,asaniczka,197,1663,0.9379365751709902,-0.04757318672856614,-0.0857570529279924,0.040008277997309105,,,-0.042468
tfidf_svd_v1_rerun,pooled_2024,363,2000,0.9361121633731073,-0.04757318672856614,-0.0857570529279924,0.040008277997309105,,,-0.042468
tfidf_svd_v1_rerun,scraped_2026,601,2000,0.8503551104451149,-0.04757318672856614,-0.0857570529279924,0.040008277997309105,,,-0.042468
