finding,metric,pooled_2024_value,scraped_2026_value,diff,reported_pooled_2024,reported_scraped_2026,verification_basis,pct_diff_reported_2024,pct_diff_reported_2026
T13 cleaned length and core share,mean_cleaned_chars,945.9906213906214,1094.2236673089274,148.23304591830595,946.0,1094.0,V1 direct length from shared swe_cleaned_text text_source=llm nonempty rows,-9.913963402311404e-06,0.00020444909408351083
T13 cleaned length and core share,mean_row_prop_core_req_resp_pref,0.42020062568637256,0.414607894240599,-0.005592731445773547,0.42,0.415,V1 table-arithmetic audit of T13 section_text_by_uid; parser itself not independently rebuilt,0.0004776802056489993,-0.0009448331551830422
T13 cleaned length and core share,mean_boilerplate_chars,0.725941325941326,1.678709055876686,0.95276772993536,,,V1 table-arithmetic audit of T13 section_text_by_uid,,
