archetype_name,year,n,denominator_labeled_rows,share,reported_share,pct_diff_reported
AI LLM Platforms,2024,664,21361,0.03108468704648659,0.031,0.0027318402092448013
AI LLM Platforms,2026,2160,12380,0.17447495961227788,0.174,0.0027296529441258165
