source,period,seniority_final,is_aggregator,n,mean_tech_count,mean_scope_count,mean_aspiration_ratio,median_aspiration_ratio,mean_ghost_score,kitchen_sink_share,aspiration_heavy_share,yoe_scope_mismatch_share,degree_contra_share,management_broad_share,management_strong_share,text_source
kaggle_arshkon,2024-04,mid-senior,False,5,0.2,0.4,0.5833333333333333,0.5,0.37554884010310197,0.2,0.2,0.0,0.0,0.8,0.0,raw_full
kaggle_arshkon,2024-04,unknown,False,7,0.8571428571428571,0.14285714285714285,0.6666666666666666,0.0,-0.02282230997456309,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,raw_full
kaggle_asaniczka,2024-01,director,False,5,1.2,1.0,0.0,0.0,0.015459366574823007,0.4,0.0,0.0,0.0,0.4,0.0,raw_full
kaggle_asaniczka,2024-01,director,True,8,2.125,0.5,0.2,0.0,0.1663028101205819,0.5,0.125,0.0,0.0,0.625,0.125,raw_full
kaggle_asaniczka,2024-01,entry,False,5,3.0,1.2,0.25,0.25,0.509253992237727,0.4,0.0,0.2,0.0,1.0,0.2,raw_full
kaggle_asaniczka,2024-01,entry,True,4,1.5,0.25,0.5,0.5,0.11087162622581698,0.25,0.25,0.0,0.0,0.5,0.5,raw_full
kaggle_asaniczka,2024-01,mid-senior,False,1212,2.9331683168316833,0.39603960396039606,0.5074042292973527,0.0,0.0773118602634417,0.2334983498349835,0.12376237623762376,0.0,0.0,0.5354785478547854,0.15924092409240925,raw_full
kaggle_asaniczka,2024-01,mid-senior,True,526,4.8688212927756656,0.13498098859315588,0.22195767195767194,0.0,-0.06658040761114152,0.09125475285171103,0.07034220532319392,0.0,0.0,0.3365019011406844,0.10076045627376426,raw_full
kaggle_asaniczka,2024-01,unknown,False,677,2.3367799113737076,0.2688330871491876,0.47111709152525477,0.0,0.007978819192219301,0.15066469719350073,0.09453471196454949,0.0,0.0,0.4534711964549483,0.1240768094534712,raw_full
kaggle_asaniczka,2024-01,unknown,True,118,3.2796610169491527,0.1864406779661017,0.27864583333333337,0.0,-0.02806787544810832,0.11016949152542373,0.07627118644067797,0.0,0.0,0.4491525423728814,0.16101694915254236,raw_full
scraped,2026-03,director,False,102,4.431372549019608,0.8921568627450981,0.337962962962963,0.0,0.22474930332990015,0.46078431372549017,0.09803921568627451,0.0,0.0,0.696078431372549,0.30392156862745096,raw_full
scraped,2026-03,director,True,5,2.2,1.8,0.19444444444444442,0.25,0.35856368322815746,0.4,0.0,0.0,0.0,0.8,0.8,raw_full
scraped,2026-03,entry,False,342,2.9590643274853803,0.4473684210526316,0.2885487528344671,0.0,0.06679501566505763,0.25146198830409355,0.0847953216374269,0.011695906432748537,0.0,0.5497076023391813,0.19883040935672514,raw_full
scraped,2026-03,entry,True,99,3.0202020202020203,0.26262626262626265,0.2958333333333333,0.0,0.057567647559648265,0.18181818181818182,0.08080808080808081,0.030303030303030304,0.0,0.5454545454545454,0.1919191919191919,raw_full
scraped,2026-03,mid-senior,False,5675,3.660088105726872,0.8452863436123348,0.5957923849417324,0.25,0.21041862423454347,0.43612334801762115,0.12881057268722468,0.0,0.0,0.6170925110132158,0.23700440528634362,raw_full
scraped,2026-03,mid-senior,True,732,3.80327868852459,0.6461748633879781,0.3197399527186761,0.0,0.117924369078547,0.3907103825136612,0.08060109289617487,0.0,0.0,0.4426229508196721,0.19262295081967212,raw_full
scraped,2026-03,unknown,False,7072,3.166289592760181,0.6067590497737556,0.5499881267497633,0.0,0.12276826021699026,0.3273472850678733,0.1323529411764706,0.0,0.0,0.5288461538461539,0.1647341628959276,raw_full
scraped,2026-03,unknown,True,1790,3.335754189944134,0.49664804469273743,0.3351893843957336,0.0,0.042405702981584754,0.31508379888268156,0.07877094972067039,0.0,0.0,0.38268156424581007,0.14748603351955308,raw_full
scraped,2026-04,director,False,105,4.371428571428571,0.8,0.32386363636363635,0.0,0.21125205096407657,0.45714285714285713,0.10476190476190476,0.0,0.0,0.6857142857142857,0.4857142857142857,raw_full
scraped,2026-04,director,True,1,3.0,1.0,0.5,0.5,0.876018427991586,1.0,0.0,0.0,0.0,1.0,0.0,raw_full
scraped,2026-04,entry,False,304,3.0921052631578947,0.5,0.43547400611620796,0.0,0.10517946650356225,0.3059210526315789,0.09868421052631579,0.009868421052631578,0.0,0.5822368421052632,0.22039473684210525,raw_full
scraped,2026-04,entry,True,12,2.8333333333333335,0.16666666666666666,0.0,0.0,-0.11502496074423015,0.08333333333333333,0.0,0.0,0.0,0.4166666666666667,0.25,raw_full
scraped,2026-04,mid-senior,False,5537,3.6200108361928844,0.8439588224670399,0.6089425179631365,0.3333333333333333,0.22458359021522786,0.4439227018240925,0.13617482391186564,0.0,0.0,0.6142315333212931,0.22828246342784903,raw_full
scraped,2026-04,mid-senior,True,689,3.5965166908563133,0.6269956458635704,0.3437687687687688,0.0,0.0964792916112128,0.38461538461538464,0.06386066763425254,0.0,0.0,0.4397677793904209,0.15384615384615385,raw_full
scraped,2026-04,unknown,False,6945,3.0891288696904247,0.5776817854571634,0.5236140131329635,0.0,0.10812300565683658,0.3146148308135349,0.12095032397408208,0.0,0.0,0.5108711303095752,0.18056155507559396,raw_full
scraped,2026-04,unknown,True,1776,3.204954954954955,0.47128378378378377,0.29261091986995597,0.0,0.02138209586575288,0.30236486486486486,0.05405405405405406,0.0,0.0,0.37105855855855857,0.13457207207207209,raw_full
