pair,period_group,auc_mean,auc_std,n
junior vs mid,2024,0.5610660147921109,0.028406053739472015,2638
mid vs senior,2024,0.6753561986044034,0.0045946268476182075,26319
junior vs mid,2026,0.5923360388484218,0.028838163889410167,3877
mid vs senior,2026,0.7027590878317156,0.023337410800200055,19214
