seniority,representation,sim_arshkon_vs_asaniczka
junior,embedding,0.9777787923812866
junior,tfidf_svd,0.9635508932384125
mid,embedding,
mid,tfidf_svd,
senior,embedding,0.9863203763961792
senior,tfidf_svd,0.9661413251933973
unknown,embedding,0.9878088235855103
unknown,tfidf_svd,0.9791178151310536
