,2024ar_junior,2024ar_senior,2024ar_unknown,2024as_junior,2024as_mid,2024as_senior,2024as_unknown,2026_junior,2026_mid,2026_senior,2026_unknown
2024ar_junior,1.0,0.9264471872590838,0.9369285886820257,0.962961433861728,0.8799339472741387,0.9213042497347724,0.9353771885423179,0.9226423119686035,0.9134612138344124,0.8487269588806533,0.8893415463635943
2024ar_senior,0.9264471872590838,0.9999999999999996,0.9738048179769268,0.9291843455260956,0.8766252822357946,0.9679523418507886,0.9583312974931244,0.8752403899575069,0.9249532351194257,0.9418328916381878,0.9431244905236149
2024ar_unknown,0.9369285886820257,0.9738048179769268,1.0000000000000002,0.9535943750611563,0.90461229856511,0.9564536384207294,0.9781844677961047,0.8762352413128304,0.9278202546249479,0.8982508919978686,0.9389974165195137
2024as_junior,0.962961433861728,0.9291843455260956,0.9535943750611563,0.999999999999999,0.9240478306937424,0.9516714854366353,0.9705991515006407,0.8984788745592696,0.9140957893304984,0.8536566116106472,0.9000986337961917
2024as_mid,0.8799339472741387,0.8766252822357946,0.90461229856511,0.9240478306937424,0.9999999999999999,0.9039566207311076,0.9196389249933344,0.8258008968241601,0.8782708343577718,0.8103120787756616,0.8579132643892089
2024as_senior,0.9213042497347724,0.9679523418507886,0.9564536384207294,0.9516714854366353,0.9039566207311076,0.9999999999999998,0.9777724312109173,0.8611015801206114,0.9133570843364396,0.908841112175965,0.918589413180087
2024as_unknown,0.9353771885423179,0.9583312974931244,0.9781844677961047,0.9705991515006407,0.9196389249933344,0.9777724312109173,0.9999999999999996,0.8676739157384421,0.9116202636114684,0.8841436553111467,0.9231903172116437
2026_junior,0.9226423119686035,0.8752403899575069,0.8762352413128304,0.8984788745592696,0.8258008968241601,0.8611015801206114,0.8676739157384421,1.0000000000000007,0.9059653385694642,0.8892903197374172,0.9215910346093364
2026_mid,0.9134612138344124,0.9249532351194257,0.9278202546249479,0.9140957893304984,0.8782708343577718,0.9133570843364396,0.9116202636114684,0.9059653385694642,0.9999999999999999,0.9124171747456702,0.9433706134239669
2026_senior,0.8487269588806533,0.9418328916381878,0.8982508919978686,0.8536566116106472,0.8103120787756616,0.908841112175965,0.8841436553111467,0.8892903197374172,0.9124171747456702,1.0000000000000004,0.9754399861455253
2026_unknown,0.8893415463635943,0.9431244905236149,0.9389974165195137,0.9000986337961917,0.8579132643892089,0.918589413180087,0.9231903172116437,0.9215910346093364,0.9433706134239669,0.9754399861455253,0.9999999999999996
