,2024_junior,2024_mid,2024_senior,2024_unknown,2026_junior,2026_mid,2026_senior,2026_unknown
2024_junior,0.9999999,0.9727745,0.98023427,0.9843624,0.9741963,0.9631686,0.9484692,0.9639604
2024_mid,0.9727745,1.0000002,0.9782816,0.9846045,0.94435835,0.9554626,0.94063383,0.9548733
2024_senior,0.98023427,0.9782816,0.9999998,0.99040437,0.9646271,0.96950114,0.9745363,0.9748835
2024_unknown,0.9843624,0.9846045,0.99040437,1.0,0.96498203,0.972113,0.96300745,0.97923005
2026_junior,0.9741963,0.94435835,0.9646271,0.96498203,1.0,0.97204065,0.9733708,0.9832901
2026_mid,0.9631686,0.9554626,0.96950114,0.972113,0.97204065,0.9999999,0.9770217,0.98629767
2026_senior,0.9484692,0.94063383,0.9745363,0.96300745,0.9733708,0.9770217,1.0,0.99019885
2026_unknown,0.9639604,0.9548733,0.9748835,0.97923005,0.9832901,0.98629767,0.99019885,0.99999976
