finding,emb_2024,emb_2026,emb_direction,tfidf_2024,tfidf_2026,tfidf_direction,agrees
junior-senior centroid similarity 2024 vs 2026,0.9800575971603394,0.9715384244918823,diverging,0.9525067576655467,0.8841425073046711,diverging,True
senior group dispersion 2024 vs 2026 (higher pairwise cos = more homogeneous),0.4719482362270355,0.4940055310726166,more_homogeneous,0.2780590573321912,0.2947895015844395,more_homogeneous,True
junior group dispersion 2024 vs 2026,0.4655819833278656,0.49432212114334106,more_homogeneous,0.27676361603824723,0.2832076339395583,more_homogeneous,True
