group,n,mean_centroid_sim,mean_pairwise_cos,std_centroid_sim,representation
2024_junior,375,0.6833791732788086,0.4655819833278656,0.07650778442621231,embedding
2024_mid,39,0.6585660576820374,0.41880685091018677,0.08585425466299057,embedding
2024_senior,2000,0.6880524754524231,0.4719482362270355,0.07939577847719193,embedding
2024_unknown,2000,0.6660234332084656,0.44467398524284363,0.08712393790483475,embedding
2026_junior,601,0.7033683061599731,0.49432212114334106,0.08102477341890335,embedding
2026_mid,51,0.7141221761703491,0.5001697540283203,0.0731518566608429,embedding
2026_senior,2000,0.6994494795799255,0.4940055310726166,0.07797341793775558,embedding
2026_unknown,2000,0.6857169270515442,0.46973955631256104,0.08308660238981247,embedding
2024_junior,375,0.527913104966602,0.27676361603824723,0.11639013685246774,tfidf_svd
2024_mid,39,0.5313742458235241,0.2634732888383223,0.12055283790876381,tfidf_svd
2024_senior,2000,0.5253619817904046,0.2780590573321912,0.11353861476273412,tfidf_svd
2024_unknown,2000,0.48996556181558154,0.23625312101383936,0.12291000577729332,tfidf_svd
2026_junior,601,0.5314321433478867,0.2832076339395583,0.09232027811733702,tfidf_svd
2026_mid,51,0.5788773815306278,0.3218010033047113,0.0924173509657251,tfidf_svd
2026_senior,2000,0.5466658105643809,0.2947895015844395,0.1183138455748231,tfidf_svd
2026_unknown,2000,0.5127571838804208,0.2640686089444894,0.1065156711348668,tfidf_svd
