panel,metric,n_pairs,mean,median,p10,p90,std
arshkon_min3_n3,ai_strict_v1,23,0.13357690902447936,0.0,0.0,0.3466666666666667,0.1717072202700856
arshkon_min3_n3,ai_broad_nmcp,23,0.24841878780497706,0.1777777777777778,-0.23529411764705882,0.9529411764705884,0.4233597755577646
arshkon_min3_n3,mgmt_strict_v1,23,0.12194616977225674,0.0,-0.1333333333333333,0.523809523809524,0.3309010257012054
arshkon_min3_n3,requirement_breadth_resid,23,-0.023953486917500384,-0.28615851350755594,-4.191405862785741,3.4442931123439817,3.4501048515840167
arshkon_min3_n3,reqs_share_t13,23,-0.01813748389365406,-0.019179676297172543,-0.06668508625136607,0.025730543781596463,0.05055500061353527
arshkon_min3_n3,yoe_llm,22,-0.31058872388752073,0.0,-1.976,0.7866666666666668,1.4036317182094646
arshkon_min3_n3,yoe_rule,22,-0.5995171495171495,-0.3690476190476186,-2.98,1.6633333333333342,1.7417063732369062
arshkon_min3_n3,desc_len_any,23,293.45652173913044,321.0,-663.3,927.4000000000001,839.7899346785193
pooled_min5_n3,ai_strict_v1,33,0.1339851918728924,0.0,0.0,0.3333333333333333,0.16109883727247928
pooled_min5_n3,ai_broad_nmcp,33,0.3162314512581892,0.22222222222222227,-0.14117647058823526,0.9529411764705884,0.399762745305131
pooled_min5_n3,mgmt_strict_v1,33,0.15987034850671214,0.05238095238095239,0.0,0.523809523809524,0.29641434706384173
pooled_min5_n3,requirement_breadth_resid,33,0.08313848210019256,-0.28615851350755594,-4.191405862785741,3.641136965610723,3.289812545626184
pooled_min5_n3,reqs_share_t13,33,-0.019151902832227563,-0.018493369047723876,-0.06668508625136607,0.025730543781596463,0.051060108765941956
pooled_min5_n3,yoe_llm,31,-0.15789860282032958,-0.04761904761904745,-1.7599999999999998,1.0,1.50115570087806
pooled_min5_n3,yoe_rule,31,-1.005547570708861,-1.0,-3.08,1.333333333333333,1.8612520030338213
pooled_min5_n3,desc_len_any,33,304.93939393939394,321.0,-854.5999999999999,1219.4,875.1666694619495
arshkon_min3_n2,ai_strict_v1,61,0.07062172906917363,0.0,0.0,0.3333333333333333,0.16576300435903513
arshkon_min3_n2,ai_broad_nmcp,61,0.2404122503447479,0.0,-0.25,1.0,0.4171499919204586
arshkon_min3_n2,mgmt_strict_v1,61,0.0735558195843759,0.0,-0.14,0.5,0.28699911329409866
arshkon_min3_n2,requirement_breadth_resid,61,1.1282393328219773,0.7696994435588881,-3.4550681890080974,4.841326388943366,3.8044389443304913
arshkon_min3_n2,reqs_share_t13,61,-0.021579376001333354,-0.01841609350137057,-0.10867269984917044,0.08600271745607971,0.0938427153305444
arshkon_min3_n2,yoe_llm,57,0.30863858955552254,0.0,-2.0,2.8,2.05740265816819
arshkon_min3_n2,yoe_rule,53,-0.014658402394251452,0.0,-2.7399999999999998,2.490909090909091,2.113795470811446
arshkon_min3_n2,desc_len_any,61,442.77868852459017,342.5,-521.0,1509.0,857.7766731721325
pooled_min5_n2,ai_strict_v1,77,0.0862402757246149,0.0,0.0,0.3333333333333333,0.1779894097712849
pooled_min5_n2,ai_broad_nmcp,77,0.2748331564030571,0.1777777777777778,-0.14166666666666664,1.0,0.4024200823965962
pooled_min5_n2,mgmt_strict_v1,77,0.09036187780008476,0.0,-0.08599999999999997,0.5,0.2731995925637278
pooled_min5_n2,requirement_breadth_resid,77,0.9135066094202471,0.6710941153608028,-3.2814336572661404,5.024811863628502,3.672973029950552
pooled_min5_n2,reqs_share_t13,77,-0.02276705234710341,-0.014525720989856133,-0.11428193875846514,0.056894782851134106,0.08778229958054788
pooled_min5_n2,yoe_llm,72,-0.03519153988230131,0.0,-2.0,2.666666666666667,2.447820790111089
pooled_min5_n2,yoe_rule,67,-0.2593456626292447,-0.2142857142857144,-3.0,2.472727272727272,2.1494389025882934
pooled_min5_n2,desc_len_any,77,400.0194805194805,321.0,-726.6,1513.6000000000001,884.595943449973
