source,period,n,median_chars,mean_chars,median_core_share,median_detected_share,mean_imperative_density,mean_inclusive_density,mean_passive_density,mean_marketing_density
kaggle_arshkon,2024-04,4540,1832.0,1969.2488986784142,0.0,1.0,0.7693828511783282,0.2799234308797749,0.2735398197095775,0.1921533647983121
kaggle_asaniczka,2024-01,12131,2107.0,2281.1558816255874,0.0,0.997169143665959,0.7731816046389921,0.29454950113085154,0.39026393172317675,0.1784318701050915
scraped,2026-03,3596,2495.5,2620.000834260289,0.29125763160742824,0.986435563057873,0.65925213804144,0.37209641113060554,0.2585331567550888,0.19566557173298707
scraped,2026-04,1894,2539.5,2689.261351636748,0.3100714333822647,0.9866665145644762,0.6480471874968524,0.37243539230960976,0.23373948881406012,0.20154009192444003
