metric,text_source,arshkon_value,asaniczka_value,scraped_value
fk_grade,clean,20.94045214544601,20.83734060103921,21.600133534960896
fk_grade,raw,18.08411919733897,17.935012126395765,17.562569118462367
reading_ease,clean,-3.0414365229261446,0.6895953700763833,-2.0961820356063705
reading_ease,raw,8.179706301634255,11.494925569766282,12.570282969287872
gunning_fog,clean,24.10415152786476,24.419264146056648,25.15443835923137
gunning_fog,raw,21.232591124466765,21.480883442100907,21.070210504209715
avg_sentence_length,clean,29.2113194335159,30.891052015740495,32.39745677487445
avg_sentence_length,raw,24.013799231772424,25.274927326275083,24.37948738923313
type_token_ratio_1000c,clean,0.9212992134460499,0.903088604142278,0.9096143218613607
type_token_ratio_1000c,raw,0.9295631889866804,0.9182785907210862,0.9300776168296085
lexicon_count,clean,257.8505516549649,303.87280921382074,346.89243437982503
lexicon_count,raw,451.694,502.2815,680.3492552645095
syllable_count,clean,549.1935807422267,632.1877816725088,723.946474523932
syllable_count,raw,917.574,1008.2855,1355.9386235233692
char_count,clean,1971.234,2252.694,2662.398048279404
char_count,raw,3298.6245,3600.1805,4962.927324088341
