seniority_final,period2,n,people_density,orch_density,strat_density
director,2024,74,0.14029062499140946,0.13170395003845156,0.03468931136388622
director,2026,109,0.18557867821274612,0.3013890280951865,0.07771137034461154
mid-senior,2024,10546,0.16112464927289483,0.17784884248424213,0.04703596593991049
mid-senior,2026,5202,0.23559744003032157,0.33706047659739174,0.052601443414952036
