seniority_final,period2,n,people_density_mean,orch_density_mean,strat_density_mean,people_any_share,orch_any_share,strat_any_share,desc_len_mean
director,2024,99,0.2281569432196563,0.11802341346069717,0.03494185343826428,0.37373737373737376,0.26262626262626265,0.08080808080808081,2962.6060606060605
director,2026,112,0.180607820760619,0.3015460727249935,0.07562981578180945,0.42857142857142855,0.5803571428571429,0.23214285714285715,3573.3125
mid-senior,2024,12745,0.1861700458275073,0.1675485004782703,0.0454391794122515,0.3021577089054531,0.28622989407610827,0.09627304825421734,2392.142565712044
mid-senior,2026,6062,0.23233595170973909,0.3317205083925075,0.053036974683321324,0.41026064005278784,0.48878258000659847,0.1324645331573738,2817.5841306499506
